,Unnamed: 0,Company Name,PeriodText,Type,Investment Scheme Name,status,period_year,Company_Scheme,PeriodDate,Analysed_2024,Status,Cohort,pdf_files,pdf_count,no_pdf,Industry,Types
13,10,AIR NEW ZEALAND LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,AIR NEW ZEALAND LIMITED,2024-06-30,,Submitted,FY23/24,2024 Air New Zealand CLIMATE STATEMENT updated with signatures 9 Oct 24.pdf,1,0,Airport,Normal companies
14,11,AIR NEW ZEALAND LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,AIR NEW ZEALAND LIMITED,2025-06-30,,Submitted,FY24/25,airnz-2025-climate-statement.pdf,1,0,Airport,Normal companies
15,12,ANZ BANK NEW ZEALAND LIMITED,30-09-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,ANZ BANK NEW ZEALAND LIMITED,2024-09-30,,Submitted,FY24/25,ANZBankNZCRDFY24.pdf,1,0,Finance - Banks,Normal companies
16,13,ANZ BANK NEW ZEALAND LIMITED,30-09-2024 - Not required to lodge,Normal companies,,,2024,ANZ BANK NEW ZEALAND LIMITED,2024-09-30,,Not required to lodge,FY24/25,ANZBankNZCRDFY24.pdf,1,0,Finance - Banks,Normal companies
17,14,ANZ BANK NEW ZEALAND LIMITED,30-09-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,ANZ BANK NEW ZEALAND LIMITED,2025-09-30,,Submitted,FY25/26,ANZ Bank New Zealand Limited Climate Statement 2025.pdf,1,0,Finance - Banks,Normal companies
18,15,ANZ GROUP HOLDINGS LIMITED,30-09-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,ANZ GROUP HOLDINGS LIMITED,2024-09-30,,Submitted,FY24/25,Notice to RoFSP - FY24 CRD.pdf,1,0,Finance - Banks,Normal companies
19,16,ANZ GROUP HOLDINGS LIMITED,30-09-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,ANZ GROUP HOLDINGS LIMITED,2025-09-30,,Submitted,FY25/26,FY25 ANZGHL Notice to Registrar - For Submission.pdf,1,0,Finance - Banks,Normal companies
20,17,ARBORGEN HOLDINGS LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,ARBORGEN HOLDINGS LIMITED,2024-03-31,,Submitted,FY23/24,24-07-30 ArborGen Holdings Limited Climate Statements for FY24.pdf,1,0,Agriculture,Normal companies
21,19,ARBORGEN HOLDINGS LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,ARBORGEN HOLDINGS LIMITED,2025-03-31,,Submitted,FY24/25,25-07-31 ArborGen Holdings Climate Statements FY25.pdf,1,0,Agriculture,Normal companies
22,20,ARGOSY PROPERTY LIMITED,31-03-2024 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2024,ARGOSY PROPERTY LIMITED,2024-03-31,,Submitted,FY23/24,2024-Climate-Related-Financial-Disclosures FINAL.pdf,1,0,Real Estates,Normal companies
23,22,ARGOSY PROPERTY LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,ARGOSY PROPERTY LIMITED,2025-03-31,,Submitted,FY24/25,2025-Climate-related-Disclosures-20.05.2025.pdf,1,0,Real Estates,Normal companies
24,23,ARVIDA GROUP LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,ARVIDA GROUP LIMITED,2024-03-31,,Submitted,FY23/24,Arvida Group Limited - Annual Report with Climate Related Disclosures - FY24.pdf,2,0,Retirement Village,Normal companies
25,23,ARVIDA GROUP LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,ARVIDA GROUP LIMITED,2024-03-31,,Submitted,FY23/24,Arvida Group Limited - Emissions Inventory Report with Assurance - FY24.pdf,2,0,Retirement Village,Normal companies
26,25,ARVIDA GROUP LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,ARVIDA GROUP LIMITED,2025-03-31,,Submitted,FY24/25,2025 CRD Report.pdf,3,0,Retirement Village,Normal companies
27,25,ARVIDA GROUP LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,ARVIDA GROUP LIMITED,2025-03-31,,Submitted,FY24/25,2025 GHG Report.pdf,3,0,Retirement Village,Normal companies
28,25,ARVIDA GROUP LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,ARVIDA GROUP LIMITED,2025-03-31,,Submitted,FY24/25,Sustainability Framework.pdf,3,0,Retirement Village,Normal companies
29,26,ASB BANK LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,ASB BANK LIMITED,2024-06-30,1.0,Submitted,FY23/24,ASB FY24 Sustainability Report and Climate Statement.pdf,1,0,Finance - Banks,Normal companies
30,27,ASB BANK LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,ASB BANK LIMITED,2025-06-30,,Submitted,FY24/25,ASB Bank Sustainability Report and Climate Statement 2025.pdf,1,0,Finance - Banks,Normal companies
31,28,ASSET PLUS LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,ASSET PLUS LIMITED,2024-03-31,,Submitted,FY23/24,Asset Plus FY24 Climate Statement.pdf,1,0,Finance - Other,Normal companies
32,29,ASSET PLUS LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,ASSET PLUS LIMITED,2025-03-31,,Submitted,FY24/25,Asset Plus Limited FY25 Climate Statements.pdf,1,0,Finance - Other,Normal companies
33,31,ASTERON LIFE LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,ASTERON LIFE LIMITED,2024-06-30,,Submitted,FY23/24,Asteron Life Limited FY24 Climate Related Disclosure - October 2024.pdf,1,0,Finance - Insurance,Normal companies
34,32,ASTERON LIFE LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,ASTERON LIFE LIMITED,2025-06-30,,Submitted,FY24/25,Asteron Life Climate-related Disclosure - 1 July 2024 to 31 December 2025.pdf,1,0,Finance - Insurance,Normal companies
35,33,AUCKLAND COUNCIL,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,AUCKLAND COUNCIL,2024-06-30,,Submitted,FY23/24,AR 2023-2024 Climate Statement 16.10.24.pdf,3,0,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
36,33,AUCKLAND COUNCIL,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,AUCKLAND COUNCIL,2024-06-30,,Submitted,FY23/24,AR 2023-2024 Vol 1 15.10.24_SCREEN.pdf,3,0,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
37,33,AUCKLAND COUNCIL,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,AUCKLAND COUNCIL,2024-06-30,,Submitted,FY23/24,AR 2023-2024 Vol 3 15.10.24 SCREEN.pdf,3,0,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
38,34,AUCKLAND COUNCIL,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,AUCKLAND COUNCIL,2025-06-30,,Submitted,FY24/25,Auckland Council Climate Statement 2024-2025.pdf,1,0,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
39,35,AUCKLAND INTERNATIONAL AIRPORT LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,AUCKLAND INTERNATIONAL AIRPORT LIMITED,2025-06-30,,Submitted,FY24/25,2025 Climate-related disclosure.pdf,1,0,Airport,Normal companies
40,36,AUCKLAND INTERNATIONAL AIRPORT LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,AUCKLAND INTERNATIONAL AIRPORT LIMITED,2024-06-30,,Submitted,FY23/24,2024 Climate-related Disclosure.pdf,1,0,Airport,Normal companies
41,37,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,30-09-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,2024-09-30,,Submitted,FY24/25,ANZBGL Exemption lttr FY24.pdf,1,0,Finance - Banks,Normal companies
42,38,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,30-09-2024 - Not required to lodge,Normal companies,,,2024,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,2024-09-30,,Not required to lodge,FY24/25,ANZBGL Exemption lttr FY24.pdf,1,0,Finance - Banks,Normal companies
43,40,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,2024-06-30,,Submitted,FY23/24,AFI Exemption Notice Climate Reporting 30 June 2024 MBIE.pdf,1,0,Finance - Other,Normal companies
44,41,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,2025-06-30,,Submitted,FY24/25,AFIC - signed Exemption Notice 2025 climate reporting.pdf,1,0,Finance - Other,Normal companies
45,44,BANK OF CHINA (NEW ZEALAND) LIMITED,31-12-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,BANK OF CHINA (NEW ZEALAND) LIMITED,2025-12-31,,Submitted,FY25/26,BoCNZ - subsidiary - Dec 2025 - Final.pdf,1,0,Finance - Banks,Normal companies
46,48,BANK OF NEW ZEALAND,30-09-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,BANK OF NEW ZEALAND,2024-09-30,,Submitted,FY24/25,BNZ Climate Statements 2024.pdf,1,0,Finance - Banks,Normal companies
47,49,BANK OF NEW ZEALAND,30-09-2024 - Not required to lodge,Normal companies,,,2024,BANK OF NEW ZEALAND,2024-09-30,,Not required to lodge,FY24/25,BNZ Climate Statements 2024.pdf,1,0,Finance - Banks,Normal companies
48,50,BANK OF NEW ZEALAND,30-09-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,BANK OF NEW ZEALAND,2025-09-30,,Submitted,FY25/26,BNZ Climate Statement 2025-09-30 (Final) - Signed.pdf,2,0,Finance - Banks,Normal companies
49,50,BANK OF NEW ZEALAND,30-09-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,BANK OF NEW ZEALAND,2025-09-30,,Submitted,FY25/26,BNZ CS and Exemption Notice 2025.pdf,2,0,Finance - Banks,Normal companies
50,51,BARRAMUNDI LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,BARRAMUNDI LIMITED,2024-06-30,,Submitted,FY23/24,Barramundi Limited - Climate Statement - 30 June 2024.pdf,1,0,Finance - Other,Normal companies
51,52,BARRAMUNDI LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,BARRAMUNDI LIMITED,2025-06-30,,Submitted,FY24/25,Barramundi 2025 Climate Statement.pdf,1,0,Finance - Other,Normal companies
52,53,BRISCOE GROUP LIMITED,31-01-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,BRISCOE GROUP LIMITED,2025-01-31,,Submitted,FY24/25,Briscoe Group 2025 Annual Report.pdf,1,0,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
53,54,BRISCOE GROUP LIMITED,31-01-2024 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2024,BRISCOE GROUP LIMITED,2024-01-31,1.0,Submitted,FY23/24,Briscoe Group 2024 Annual Report.pdf,2,0,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
54,54,BRISCOE GROUP LIMITED,31-01-2024 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2024,BRISCOE GROUP LIMITED,2024-01-31,1.0,Submitted,FY23/24,Briscoe Group 2024 Climate-Related Disclosures (amended with Director Signatures).pdf,2,0,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
55,55,BRISCOE GROUP LIMITED,31-01-2026 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2026,BRISCOE GROUP LIMITED,2026-01-31,,Submitted,FY25/26,Briscoe Group - Annual Report 2026.pdf,1,0,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
56,56,CDL INVESTMENTS NEW ZEALAND LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,CDL INVESTMENTS NEW ZEALAND LIMITED,2024-12-31,,Submitted,FY24/25,CDL Climate Statement 28-04-25 (003).pdf,1,0,Finance - Other,Normal companies
57,57,CDL INVESTMENTS NEW ZEALAND LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,CDL INVESTMENTS NEW ZEALAND LIMITED,2023-12-31,1.0,Submitted,FY23/24,CDL0017_Climate_Related_Disclosures_2023.pdf,1,0,Finance - Other,Normal companies
58,59,CHANNEL INFRASTRUCTURE NZ LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,CHANNEL INFRASTRUCTURE NZ LIMITED,2023-12-31,1.0,Submitted,FY23/24,Resilient infrastructure for a decarbonising world (7) - FINAL 28.02.24 9.30pm.pdf,1,0,Infrastructure,Normal companies
59,60,CHANNEL INFRASTRUCTURE NZ LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,CHANNEL INFRASTRUCTURE NZ LIMITED,2024-12-31,,Submitted,FY24/25,2024 Sustainability Report reduced file new audit report (1).pdf,1,0,Infrastructure,Normal companies
60,61,CHANNEL INFRASTRUCTURE NZ LIMITED,31-12-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,CHANNEL INFRASTRUCTURE NZ LIMITED,2025-12-31,,Submitted,FY25/26,2025 Sustainability Report.pdf,1,0,Infrastructure,Normal companies
61,62,CHINA CONSTRUCTION BANK (NEW ZEALAND) LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,CHINA CONSTRUCTION BANK (NEW ZEALAND) LIMITED,2023-12-31,1.0,Submitted,FY23/24,CCBNZL Climate Report for the year ended 31 December 2023.pdf,1,0,Finance - Banks,Normal companies
62,63,CHINA CONSTRUCTION BANK (NEW ZEALAND) LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,CHINA CONSTRUCTION BANK (NEW ZEALAND) LIMITED,2024-12-31,,Submitted,FY24/25,climate report 2024 sub.pdf,1,0,Finance - Banks,Normal companies
63,64,CHINA CONSTRUCTION BANK (NEW ZEALAND) LIMITED,31-12-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,CHINA CONSTRUCTION BANK (NEW ZEALAND) LIMITED,2025-12-31,,Submitted,FY25/26,Climate Report_CCBNZL_for year ended 31 December 2025.pdf,3,0,Finance - Banks,Normal companies
64,64,CHINA CONSTRUCTION BANK (NEW ZEALAND) LIMITED,31-12-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,CHINA CONSTRUCTION BANK (NEW ZEALAND) LIMITED,2025-12-31,,Submitted,FY25/26,[Reference]NZBA Climate Scenario Narratives Appendices.pdf,3,0,Finance - Banks,Normal companies
65,64,CHINA CONSTRUCTION BANK (NEW ZEALAND) LIMITED,31-12-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,CHINA CONSTRUCTION BANK (NEW ZEALAND) LIMITED,2025-12-31,,Submitted,FY25/26,[Reference]NZBA Climate Scenario Narratives.pdf,3,0,Finance - Banks,Normal companies
66,65,CHINA CONSTRUCTION BANK CORPORATION,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,CHINA CONSTRUCTION BANK CORPORATION,2024-12-31,,Submitted,FY24/25,Climate Report 2024 Group.pdf,1,0,Finance - Banks,Normal companies
67,66,CHINA CONSTRUCTION BANK CORPORATION,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,CHINA CONSTRUCTION BANK CORPORATION,2023-12-31,,Submitted,FY23/24,CCBNZBG Climate Report for the year ended 31 December 2023.pdf,1,0,Finance - Banks,Normal companies
68,67,CHINA CONSTRUCTION BANK CORPORATION,31-12-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,CHINA CONSTRUCTION BANK CORPORATION,2025-12-31,,Submitted,FY25/26,Climate Report_CCBNZB Group_for year ended 31 December 2025.pdf,3,0,Finance - Banks,Normal companies
69,67,CHINA CONSTRUCTION BANK CORPORATION,31-12-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,CHINA CONSTRUCTION BANK CORPORATION,2025-12-31,,Submitted,FY25/26,[Reference]NZBA Climate Scenario Narratives Appendices.pdf,3,0,Finance - Banks,Normal companies
70,67,CHINA CONSTRUCTION BANK CORPORATION,31-12-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,CHINA CONSTRUCTION BANK CORPORATION,2025-12-31,,Submitted,FY25/26,[Reference]NZBA Climate Scenario Narratives.pdf,3,0,Finance - Banks,Normal companies
71,68,CHORUS LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,CHORUS LIMITED,2024-06-30,,Submitted,FY23/24,Chorus Climate Statements FY24 (dated and signed as at 26 Aug).pdf,1,0,Telecom,Normal companies
72,69,CHORUS LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,CHORUS LIMITED,2025-06-30,,Submitted,FY24/25,Chorus FY25 Climate Statements.pdf,1,0,Telecom,Normal companies
73,70,CHRISTCHURCH CITY HOLDINGS LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,CHRISTCHURCH CITY HOLDINGS LIMITED,2025-06-30,,Submitted,FY24/25,CCHL Climate Statement 2025 – web.pdf,2,0,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
74,70,CHRISTCHURCH CITY HOLDINGS LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,CHRISTCHURCH CITY HOLDINGS LIMITED,2025-06-30,,Submitted,FY24/25,Exemption notice_CCHL 30 June 2025.pdf,2,0,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
75,71,CHRISTCHURCH CITY HOLDINGS LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,CHRISTCHURCH CITY HOLDINGS LIMITED,2024-06-30,,Submitted,FY23/24,CCHL-Climate-Statement-2024.pdf,1,0,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
76,72,CHRISTCHURCH INTERNATIONAL AIRPORT LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,CHRISTCHURCH INTERNATIONAL AIRPORT LIMITED,2024-06-30,,Submitted,FY23/24,CIAL - ClimateRelatedDisclosure FY24.pdf,2,0,Airport,Normal companies
77,72,CHRISTCHURCH INTERNATIONAL AIRPORT LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,CHRISTCHURCH INTERNATIONAL AIRPORT LIMITED,2024-06-30,,Submitted,FY23/24,CIAL - Independent GHG Inventory Report - FY24.pdf,2,0,Airport,Normal companies
78,73,CHRISTCHURCH INTERNATIONAL AIRPORT LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,CHRISTCHURCH INTERNATIONAL AIRPORT LIMITED,2025-06-30,,Submitted,FY24/25,20250924-CIAL_GHG inventory basis of preparation_FINAL_REV A.pdf,3,0,Airport,Normal companies
79,73,CHRISTCHURCH INTERNATIONAL AIRPORT LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,CHRISTCHURCH INTERNATIONAL AIRPORT LIMITED,2025-06-30,,Submitted,FY24/25,CIALTS25007 Climate Related Disclosure FINAL.pdf,3,0,Airport,Normal companies
80,73,CHRISTCHURCH INTERNATIONAL AIRPORT LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,CHRISTCHURCH INTERNATIONAL AIRPORT LIMITED,2025-06-30,,Submitted,FY24/25,TÜV SÜD Verification Opinion - CIAL FY25 9.24.25.pdf,3,0,Airport,Normal companies
81,74,CHUBB LIFE INSURANCE NEW ZEALAND LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,CHUBB LIFE INSURANCE NEW ZEALAND LIMITED,2023-12-31,1.0,Submitted,FY23/24,Chubb Life Insurance New Zealand Limited Climate Disclosure 2023.pdf,1,0,Finance - Insurance,Normal companies
82,75,CHUBB LIFE INSURANCE NEW ZEALAND LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,CHUBB LIFE INSURANCE NEW ZEALAND LIMITED,2024-12-31,,Submitted,FY24/25,2024 Chubb Life Climate Related Disclosures.pdf,1,0,Finance - Insurance,Normal companies
83,76,CHUBB LIFE INSURANCE NEW ZEALAND LIMITED,31-12-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,CHUBB LIFE INSURANCE NEW ZEALAND LIMITED,2025-12-31,,Submitted,FY25/26,Chubb Life NZ_New Zealand Disclosures CRD_FINAL_2026.pdf,1,0,Finance - Insurance,Normal companies
84,77,"CITIBANK, N.A.",31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,"CITIBANK, N.A.",2024-12-31,,Submitted,FY24/25,Citibank - notice to Registrar of Financial Service Providers FINAL.pdf,2,0,Finance - Banks,Normal companies
85,77,"CITIBANK, N.A.",31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,"CITIBANK, N.A.",2024-12-31,,Submitted,FY24/25,Citibank CRD Exemption Notice  - FINAL  10.12.24  Signed.pdf,2,0,Finance - Banks,Normal companies
86,78,"CITIBANK, N.A.",31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,"CITIBANK, N.A.",2023-12-31,1.0,Submitted,FY23/24,2023 Climate Statements for Citibank N.A. (New Zealand Branch).pdf,2,0,Finance - Banks,Normal companies
87,78,"CITIBANK, N.A.",31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,"CITIBANK, N.A.",2023-12-31,1.0,Submitted,FY23/24,Citibank N.A. (New Zealand Branch) - Statement - 29 APRIL 2024 .pdf,2,0,Finance - Banks,Normal companies
88,79,"CITIBANK, N.A.",31-12-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,"CITIBANK, N.A.",2025-12-31,,Submitted,FY25/26,Citibank - notice to Registrar of Financial Service Providers FINAL 2025.pdf,1,0,Finance - Banks,Normal companies
89,80,COMMONWEALTH BANK OF AUSTRALIA,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,COMMONWEALTH BANK OF AUSTRALIA,2024-06-30,,Submitted,FY23/24,CBA NZ CEO confirmation of the CBA NZ Climate Statement  for the year ended 30 June 2024.pdf,2,0,Finance - Banks,Normal companies
90,80,COMMONWEALTH BANK OF AUSTRALIA,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,COMMONWEALTH BANK OF AUSTRALIA,2024-06-30,,Submitted,FY23/24,CBA NZ Climate Statement 2024.pdf,2,0,Finance - Banks,Normal companies
91,81,COMMONWEALTH BANK OF AUSTRALIA,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,COMMONWEALTH BANK OF AUSTRALIA,2025-06-30,,Submitted,FY24/25,Letter to CRD re CBA NZ reliance on exemption for 2025.pdf,1,0,Finance - Banks,Normal companies
