Company_Scheme,Cohort,pdf_files,FinalInclusion
DELEGAT GROUP LIMITED,FY23/24,DGL Climate-Related Disclosure 2024.pdf,1
DELEGAT GROUP LIMITED,FY24/25,DGL - 2025 Climate-Related Disclosure Report.pdf,1
DOWNER EDI LIMITED,FY23/24,Downer EDI - 2024 Sustainability Report incl Climate Statement.pdf,1
DOWNER EDI LIMITED,FY24/25,2025 Annual Report (including Climate Statement).pdf,1
EBOS GROUP LIMITED,FY23/24,Climate Statement_2024_V15.pdf,1
EBOS GROUP LIMITED,FY24/25,EBOS Group Limited FY2025 Climate Statement.pdf,1
EROAD LIMITED,FY23/24,EROAD-Climate-disclosures-FY24-30July2024.pdf,1
EROAD LIMITED,FY24/25,EROAD-FY25-Sustainability-Report and Climate Disclosures.pdf,1
FIDELITY LIFE ASSURANCE COMPANY LIMITED,FY23/24,Fidelity Life Assurance Company Limited - FY24 Climate Statement.pdf,1
FIDELITY LIFE ASSURANCE COMPANY LIMITED,FY24/25,Fidelity Life Annual report FY25 including Climate Statement.pdf,1
FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,FY23/24,FPH Annual Report 2024_Including Climate Statements.pdf,1
FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,FY24/25,FPH Annual Report 2025_Including Climate Statements.pdf,1
FLETCHER BUILDING LIMITED,FY23/24,Fletcher Building Climate Statements 2024.pdf,1
FLETCHER BUILDING LIMITED,FY24/25,Fletcher Building Climate Statements 2025.pdf,1
FMG INSURANCE LIMITED,FY23/24,FMGIL Climate-related disclosures FY24.pdf,1
FMG INSURANCE LIMITED,FY24/25,Climate-related-disclosures-2025.pdf,1
FOLEY WINES LIMITED,FY23/24,Foley Wines Limited Climate Related Disclosures YE 30 June 2024.pdf,1
FONTERRA CO-OPERATIVE GROUP LIMITED,FY24/25,01. FONTERRA133 2024 Annual Report_NZX.pdf,1
FREIGHTWAYS GROUP LIMITED,FY23/24,Freightways Climate Statement - FY24.pdf,1
FREIGHTWAYS GROUP LIMITED,FY24/25,Freightways FY25 Climate Statement.pdf,1
GENESIS ENERGY LIMITED,FY23/24,Genesis FY24 Climate Statement.pdf,1
GENESIS ENERGY LIMITED,FY24/25,Genesis FY25 Climate Statement.pdf,1
GENTRACK GROUP LIMITED,FY24/25,Gentrack Annual Report including Climate Statement 2024.pdf,1
GREEN CROSS HEALTH LIMITED,FY23/24,Green Cross Health Limited Climate Related Disclosure for the year ended 31 March 2024.pdf,1
GREEN CROSS HEALTH LIMITED,FY24/25,Green Cross Health Limited Climate Related Disclosure for the year ended 31 March 2025.pdf,1
HALLENSTEIN GLASSON HOLDINGS LIMITED,FY24/25,Hallenstein Glasson Holdings Limited Climate Related Disclosures 2024.pdf,1
HEARTLAND BANK LIMITED,FY23/24,Heartland Climate Report FY2024 .pdf,1
HEARTLAND BANK LIMITED,FY24/25,Heartland Climate Report FY2025.pdf,1
HENDERSON FAR EAST INCOME LIMITED,FY24/25,NZX climate related ye24.pdf,1
IAG NEW ZEALAND LIMITED,FY23/24,FY24 IAG New Zealand Climate-related Disclosure.pdf,1
IAG NEW ZEALAND LIMITED,FY24/25,IAG NZ FY25 Climate Disclosure.pdf,1
IKEGPS GROUP LIMITED,FY23/24,ikeGPS Group ESG Final_Signed.pdf,1
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (NEW ZEALAND) LIMITED,FY23/24,ICBC NZ Ltd CRD 31 Dec 2023.pdf,1
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (NEW ZEALAND) LIMITED,FY24/25,ICBC NZ Ltd Climate-Related Disclosure Statement 31 Dec 24.pdf,1
INFRATIL LIMITED,FY23/24,Infratil FY2024 Climate Related Disclosures.pdf,1
INFRATIL LIMITED,FY24/25,Infratil FY2025 CRD Combined.pdf,1
INSURANCE AUSTRALIA GROUP LIMITED,FY23/24,20240821 Notice NZ FSPR registrar.pdf,1
INSURANCE AUSTRALIA GROUP LIMITED,FY24/25,IAG CRD notice to FSR.pdf,1
INVESTORE PROPERTY LIMITED,FY23/24,Investore Property Limited - FY24 Sustainability Report and Climate-Related Disclosures.pdf,1
INVESTORE PROPERTY LIMITED,FY24/25,Investore Property Limited - FY25 Sustainability Report and Climate-Related Disclosures.pdf,1
KINGFISH LIMITED,FY23/24,Kingfish Climate Statement - 31 March 2024.pdf,1
KINGFISH LIMITED,FY24/25,Kingfish 31 March 2025 Climate Statement.pdf,1
KIWI PROPERTY GROUP LIMITED,FY23/24,Kiwi Property Group Climate-related Disclosure Report 2024.pdf,1
KIWI PROPERTY GROUP LIMITED,FY24/25,FY25 Sustainability Report and Climate-related Disclosures.pdf,1
KIWIBANK LIMITED,FY23/24,Kiwibank Climate Statement dated 21 August 2024 as amended on page 34 - 14 October 2024.pdf,1
KIWIBANK LIMITED,FY24/25,Kiwibank 2025 Climate Statement.pdf,1
KMD BRANDS LIMITED,FY24/25,KMD Brands Climate Related Disclosures 2024.pdf,1
LIVESTOCK IMPROVEMENT CORPORATION LIMITED,FY23/24,LIC_Climate_Statements_FINAL signed.pdf,1
LIVESTOCK IMPROVEMENT CORPORATION LIMITED,FY24/25,LIC_ClimateReport_31052025.pdf,1
MAINFREIGHT LIMITED,FY23/24,2024 Sustainability and Climate Report v1.0.pdf,1
MAINFREIGHT LIMITED,FY24/25,2025 Sustainability and Climate Report v1.0.pdf,1
MANAWA ENERGY LIMITED,FY23/24,Manawa Energy Limited - Climate Related Disclosure FY24.pdf,1
MANAWA ENERGY LIMITED,FY24/25,Manawa Energy Limited FY25  Climate Statement.pdf,1
MARLIN GLOBAL LIMITED,FY23/24,Marlin Global Limited - Climate Statement - 30 June 2024.pdf,1
MARLIN GLOBAL LIMITED,FY24/25,Marlin 2025 Climate Statement.pdf,1
MARSDEN MARITIME HOLDINGS LIMITED,FY23/24,MMH Annual Report_2024.pdf,1
MERCURY NZ LIMITED,FY23/24,Mercury FY24 Climate Statement.pdf,1
MERCURY NZ LIMITED,FY24/25,Mercury FY25 Climate Statement.pdf,1
MERIDIAN ENERGY LIMITED,FY23/24,Meridian Climate related Disclosure 2024.pdf,1
MERIDIAN ENERGY LIMITED,FY24/25,Meridian Energy Climate-related Disclosures 2025.pdf,1
METLIFECARE LIMITED,FY23/24,Metlifecare Climate-related Disclosure Report 2024.pdf,1
METLIFECARE LIMITED,FY24/25,Metlifecare Climate Statement 2025.pdf,1
MILLENNIUM & COPTHORNE HOTELS NEW ZEALAND LIMITED,FY23/24,MIL0019_Climate_Related_Disclosures_2023.pdf,1
MILLENNIUM & COPTHORNE HOTELS NEW ZEALAND LIMITED,FY24/25,MCK_FY24_Climate_Statement_FINAL_issued_April28_2025.pdf,1
MOVE LOGISTICS GROUP LIMITED,FY23/24,MOVE Climate Statement 2024-v6.pdf,1
MOVE LOGISTICS GROUP LIMITED,FY24/25,MOVE FY25 Climate Statement.pdf,1
"MUFG BANK, LTD.",FY23/24,MUFG New Zealand Climate Report FY2023.pdf,1
"MUFG BANK, LTD.",FY24/25,MUFG New Zealand Climate Report 31 March 2025.pdf,1
NAPIER PORT HOLDINGS LIMITED,FY24/25,2024 Climate Change Report (FINAL) - signed.pdf,1
NELSON BUILDING SOCIETY,FY23/24,NBS-Climate-Related-Disclosure-2024.pdf,1
NELSON BUILDING SOCIETY,FY24/25,NBS-Climate-Related-Disclosure-2025.pdf,1
NEW ZEALAND KING SALMON INVESTMENTS LIMITED,FY23/24,Climate-Related Disclosures.pdf,1
NEW ZEALAND KING SALMON INVESTMENTS LIMITED,FY24/25,New Zealand King Salmon FY25 Climate-Related Disclosures.pdf,1
NEW ZEALAND LOCAL GOVERNMENT FUNDING AGENCY LIMITED,FY23/24,2406 Climate-Related-Disclosures-2024.pdf,1
NEW ZEALAND RURAL LAND COMPANY LIMITED,FY23/24,NZL Climate Related Disclosure.pdf,1
NEW ZEALAND RURAL LAND COMPANY LIMITED,FY24/25,NZL CRD Climate Statement 2024.pdf,1
NIB NZ LIMITED,FY23/24,nib NZ Climate Related Disclosure_FINAL_R3.pdf,1
NIB NZ LIMITED,FY24/25,nib nz 2025 Climate Related Disclosure.pdf,1
NZME LIMITED,FY23/24,NZME Annual Report 2023 (including climate statement).pdf,1
NZME LIMITED,FY24/25,NZME Annual Report 2024 (including climate statement).pdf,1
NZX LIMITED,FY23/24,NZX Annual Report 2023 (including climate statement).pdf,1
NZX LIMITED,FY24/25,NZX Annual Report 2024 (including climate statement).pdf,1
OCEANIA HEALTHCARE LIMITED,FY23/24,Oceania Healthcare FY2024 Climate-related Risk Disclosure.pdf,1
OCEANIA HEALTHCARE LIMITED,FY24/25,Oceania Healthcare FY2025 Climate-related Risk Disclosure.pdf,1
PACIFIC EDGE LIMITED,FY23/24,PEB Climate Report 24.pdf,1
PACIFIC EDGE LIMITED,FY24/25,Pacific Edge Limited Final Climate Report FY25.pdf,1
PARTNERS LIFE LIMITED,FY23/24,Partners Life Limited Climate Statements 31 March 2024 (stand alone).pdf,1
PARTNERS LIFE LIMITED,FY24/25,PLL Financial Statements Signed.pdf,1
PGG WRIGHTSON LIMITED,FY23/24,PGW Sustainability Report 2024.pdf,1
PGG WRIGHTSON LIMITED,FY24/25,PGW Sustainability Report and Climate Statement 2025.pdf,1
PORT OF TAURANGA LIMITED,FY23/24,Port of Tauranga CRD report FY2024 (1).pdf,1
PORT OF TAURANGA LIMITED,FY24/25,Port of Tauranga CRD report 2025.pdf,1
PRECINCT PROPERTIES NEW ZEALAND LIMITED,FY23/24,Climate Related Disclosures_Oct2024.pdf,1
PRECINCT PROPERTIES NEW ZEALAND LIMITED,FY24/25,Climate Related Disclosures_clean 28 Oct 2025.pdf,1
PROPERTY FOR INDUSTRY LIMITED,FY23/24,2023 12 31 - PFI - Climate-related Disclosures - Signed.pdf,1
PROPERTY FOR INDUSTRY LIMITED,FY24/25,2025 06 30 - PFI - FY25 Sustainability and Climate Report - FINAL.pdf,1
QBE INSURANCE (AUSTRALIA) LIMITED,FY24/25,QBE NZ Climate Statement 2024 (with SH and CE signature).pdf,1
QUAYSIDE HOLDINGS LIMITED,FY23/24,Quayside Holdings Limited FY24 Climate Related Disclosures.pdf,1
QUAYSIDE HOLDINGS LIMITED,FY24/25,FY25 CLIMATE DISCLOSURE_231025.pdf,1
RABOBANK NEW ZEALAND LIMITED,FY23/24,Rabobank New Zealand Limited 2023 Climate Statements.pdf,1
RABOBANK NEW ZEALAND LIMITED,FY24/25,ClimateStatements_2024_RNZL_Final.pdf,1
RADIUS RESIDENTIAL CARE LIMITED,FY23/24,Radius Residential Care Ltd - CRD Report - FY24.pdf,1
RADIUS RESIDENTIAL CARE LIMITED,FY24/25,RAD - Radius Care CRD 2025.pdf,1
RAKON LIMITED,FY23/24,Rakon Limited Climate Statement July 2024.pdf,1
RAKON LIMITED,FY24/25,RAKON Climate Statement 2025.pdf,1
RESOLUTION LIFE AUSTRALASIA LIMITED,FY23/24,CRD 2023 CEO Declaration.pdf,1
RESOLUTION LIFE AUSTRALASIA LIMITED,FY23/24,RLAL-NZ Climate-Related Disclosures 2023.pdf,1
RESOLUTION LIFE AUSTRALASIA LIMITED,FY24/25,RLAL_NZ Climate Related Disclosure 2024.pdf,1
RESTAURANT BRANDS NEW ZEALAND LIMITED,FY23/24,RBD 2023 CRD.pdf,1
RESTAURANT BRANDS NEW ZEALAND LIMITED,FY24/25,RBD FY24 CRD Report.pdf,1
RYMAN HEALTHCARE LIMITED,FY23/24,Ryman Climate-Related Disclosures 2024.pdf,1
RYMAN HEALTHCARE LIMITED,FY24/25,Ryman FY25 Climate-Related Disclosures Report.pdf,1
SANFORD LIMITED,FY24/25,FY24 Sustainability Report.pdf,1
SCALES CORPORATION LIMITED,FY23/24,SC9600 Climate Related Disclosure Final Copy.pdf,1
SCALES CORPORATION LIMITED,FY24/25,SC9870 Climate Related Disclosure Final 23.04.25.pdf,1
SCOTT TECHNOLOGY LIMITED,FY24/25,Scott-sustainability-report-2024-v11.pdf,1
SEEKA LIMITED,FY23/24,Seeka Limited Climate Disclosure 2023.pdf,1
SEEKA LIMITED,FY24/25,Seeka Ltd - 2024 Climate Statement.pdf,1
SKELLERUP HOLDINGS LIMITED,FY23/24,Skellerup Group Climate Statements FY24 Final.pdf,1
SKELLERUP HOLDINGS LIMITED,FY24/25,Skellerup Group Climate Statements FY25.pdf,1
SKY NETWORK TELEVISION LIMITED,FY23/24,SKY - Climate-Related Disclosure 2024.pdf,1
SKY NETWORK TELEVISION LIMITED,FY24/25,SKY Climate-Related Disclosure 2025.pdf,1
SKYCITY ENTERTAINMENT GROUP LIMITED,FY23/24,SkyCity Climate Related Disclosures Index FY24.pdf,1
SMARTPAY HOLDINGS LIMITED,FY23/24,The Climate Statement for the year ended 31 March 2024.pdf,1
SMARTPAY HOLDINGS LIMITED,FY24/25,The Climate Statement For the Reporting Period Ended 31 March 2025.pdf,1
SOUTH PORT NEW ZEALAND LIMITED,FY23/24,South Port NZ CRD.pdf,1
SOUTH PORT NEW ZEALAND LIMITED,FY24/25,20250828_South Port FY25 CRD_MASTER.pdf,1
SOUTHERN CROSS MEDICAL CARE SOCIETY,FY23/24,Southern Cross Medical Care Society - 2024 Climate Statements.pdf,1
SOUTHERN CROSS MEDICAL CARE SOCIETY,FY24/25,Southern Cross Medical Care Society - 2025 Climate Statements.pdf,1
SOUTHLAND BUILDING SOCIETY,FY23/24,SBS Group Climate and Sustainability Statement FYE24.pdf,1
SOUTHLAND BUILDING SOCIETY,FY24/25,SBS Group CRD FY2025.pdf,1
SPARK NEW ZEALAND LIMITED,FY23/24,Annual Report.pdf,1
SPARK NEW ZEALAND LIMITED,FY24/25,Climate-related Disclosures Report.pdf,1
STEEL & TUBE HOLDINGS LIMITED,FY23/24,Steel & Tube 2024 Climate Related Disclosure_Digital Signatures.pdf,1
STEEL & TUBE HOLDINGS LIMITED,FY24/25,Steel & Tube 2025 Climate Related Disclosures Final (Signed).pdf,1
STRIDE INVESTMENT MANAGEMENT LIMITED,FY23/24,SPG Sustainability Report and Climate Statements FY24.pdf,1
STRIDE INVESTMENT MANAGEMENT LIMITED,FY24/25,Stride Property Group - FY25 Sustainability Report and Climate-Related Disclosures.pdf,1
STRIDE PROPERTY LIMITED,FY23/24,SPG Sustainability Report and Climate Statements FY24.pdf,1
STRIDE PROPERTY LIMITED,FY24/25,Stride Property Group - FY25 Sustainability Report and Climate-Related Disclosures.pdf,1
SUMMERSET GROUP HOLDINGS LIMITED,FY23/24,Sustainability Review & Climate Related Disclosures - FY23.pdf,1
SUMMERSET GROUP HOLDINGS LIMITED,FY24/25,Sustainability Review and Climate-related Disclosures FY24.pdf,1
SWISS RE LIFE & HEALTH AUSTRALIA LIMITED,FY23/24,SRLHA NZ CRD Statement_signed.pdf,1
SWISS RE LIFE & HEALTH AUSTRALIA LIMITED,FY24/25,Swiss Re NZ CRD redport 2024_SIGNED.pdf,1
SYNLAIT MILK LIMITED,FY24/25,Synlait_Integrated Climate Report FY24_201224_Digital v2.pdf,1
T&G GLOBAL LIMITED,FY23/24,TGG_ClimateRelatedDisclosure.pdf,1
T&G GLOBAL LIMITED,FY24/25,TG_CRD_31Dec24.pdf,1
THE A2 MILK COMPANY LIMITED,FY23/24,a2 Milk Company Climate Statement FY24.pdf,1
THE A2 MILK COMPANY LIMITED,FY24/25,a2 Milk Company 2025 Climate Statement.pdf,1
THE BANKERS INVESTMENT TRUST PLC,FY24/25,NZ Climate letter 2024 AR.pdf,1
THE COLONIAL MOTOR COMPANY LIMITED,FY23/24,Climate Statement June 2024.pdf,1
THE COLONIAL MOTOR COMPANY LIMITED,FY24/25,CMC Climate Statement FY25 FINAL.pdf,1
THE CO-OPERATIVE BANK LIMITED,FY23/24,the-co-operative-bank_climate-report-2024-signed.pdf,1
THE CO-OPERATIVE BANK LIMITED,FY24/25,The Co-operative Climate Report 2025 - Final.pdf,1
THE HOLLARD INSURANCE COMPANY PTY LTD,FY23/24,Hollard_NZ Climate statement.pdf,1
THE HOLLARD INSURANCE COMPANY PTY LTD,FY24/25,HNZ CRD Climate Statement.pdf,1
THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,FY23/24,HSBC NZ 2023 Climate Statement lodgement letter - signed.pdf,1
THE WAREHOUSE GROUP LIMITED,FY24/25,5. WHS FY24 Climate-related Disclosures Report.pdf,1
TOURISM HOLDINGS LIMITED,FY23/24,thl FY24 Climate Statements.pdf,1
TOURISM HOLDINGS LIMITED,FY24/25,FY25 Climate Statements.pdf,1
TOWER LIMITED,FY24/25,Tower Limited Climate Statement.pdf,1
TRANSPOWER NEW ZEALAND LIMITED,FY23/24,Transpower Climate Statement 2024 FINAL.pdf,1
TRANSPOWER NEW ZEALAND LIMITED,FY24/25,TP Climate Statement 2025 FINAL.pdf,1
TSB BANK LIMITED,FY23/24,TSB Climate Statement FY24.pdf,1
TSB BANK LIMITED,FY24/25,TSB Climate Statement 2025.pdf,1
TURNERS AUTOMOTIVE GROUP LIMITED,FY23/24,Turners 2024 Climate Related Disclosure.pdf,1
TURNERS AUTOMOTIVE GROUP LIMITED,FY24/25,Turners 2025 Climate-related Disclosures.pdf,1
VECTOR LIMITED,FY23/24,6 Vector FY24 Climate-related disclosures.pdf,1
VECTOR LIMITED,FY24/25,Vector's Climate-Related Disclosures 2025.pdf,1
VENTIA SERVICES GROUP LIMITED,FY23/24,Ventia - 2023 Sustainability Report.pdf,1
VENTIA SERVICES GROUP LIMITED,FY24/25,Ventia 2024 Annual Report - NZ Companies Office lodgement.pdf,1
VERO INSURANCE NEW ZEALAND LIMITED,FY23/24,Vero Insurance New Zealand Limited FY24 Climate Related Disclosure - October 2024.pdf,1
VERO INSURANCE NEW ZEALAND LIMITED,FY24/25,SUN001 Vero Insurance-CRD-v23HR_Signed.pdf,1
VISTA GROUP INTERNATIONAL LIMITED,FY23/24,Vista Group 2023 Group Climate Statement.pdf,1
VISTA GROUP INTERNATIONAL LIMITED,FY24/25,Vista Group 2024 Group Climate Statement.pdf,1
VULCAN STEEL LIMITED,FY23/24,VSL - FY24 Annual Report FINAL.pdf,1
VULCAN STEEL LIMITED,FY24/25,VSL - FY25Annual Report Combined v14.pdf,1
WELLINGTON INTERNATIONAL AIRPORT LIMITED,FY23/24,Wellington Airport Climate Related Disclosures FY24.pdf,1
WELLINGTON INTERNATIONAL AIRPORT LIMITED,FY24/25,Wellington Airport Climate Related Disclosures.pdf,1
WESTPAC NEW ZEALAND LIMITED,FY24/25,WNZL Climate Report 2024.pdf,1
WINTON LAND LIMITED,FY23/24,WL0007 Winton 2024 Climate-Related Disclosures_INTERACTIVE_FINAL ART.pdf,1
WINTON LAND LIMITED,FY24/25,WL0010 Winton 2025 Climate-Related Disclosures_INTERACTIVE_FINAL ART_web.pdf,1
WORKS FINANCE (NZ) LIMITED,FY23/24,Works Finance (NZ) Ltd - FY24 climate reporting.pdf,1
WORKS FINANCE (NZ) LIMITED,FY24/25,Works Finance (NZ) Ltd - FY25 climate reporting.pdf,1
Z ENERGY LIMITED,FY23/24,Z Climate Statements 2023 - FINAL.pdf,1
