,Company Name,PeriodText,Type,Investment Scheme Name,status,period_year,Company_Scheme,PeriodDate,Analysed_2024,Status,Cohort,pdf_files,pdf_count,no_pdf,Industry,Types
40,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,2024-06-30,,Submitted,FY23/24,['AFI Exemption Notice Climate Reporting 30 June 2024 MBIE.pdf'],1,0,Finance - Other,Normal companies
41,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,2025-06-30,,Submitted,FY24/25,['AFIC - signed Exemption Notice 2025 climate reporting.pdf'],1,0,Finance - Other,Normal companies
42,BANK OF CHINA (NEW ZEALAND) LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,BANK OF CHINA (NEW ZEALAND) LIMITED,2024-12-31,,Submitted,FY24/25,[],0,1,Finance - Banks,Normal companies
43,BANK OF CHINA (NEW ZEALAND) LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,BANK OF CHINA (NEW ZEALAND) LIMITED,2023-12-31,1.0,Submitted,FY23/24,[],0,1,Finance - Banks,Normal companies
44,BANK OF CHINA (NEW ZEALAND) LIMITED,31-12-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,BANK OF CHINA (NEW ZEALAND) LIMITED,2025-12-31,,Submitted,FY25/26,['BoCNZ - subsidiary - Dec 2025 - Final.pdf'],1,0,Finance - Banks,Normal companies
45,BANK OF CHINA LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,BANK OF CHINA LIMITED,2024-12-31,,Submitted,FY24/25,[],0,1,Finance - Banks,Normal companies
46,BANK OF CHINA LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,BANK OF CHINA LIMITED,2023-12-31,,Submitted,FY23/24,[],0,1,Finance - Banks,Normal companies
47,BANK OF CHINA LIMITED,31-12-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,BANK OF CHINA LIMITED,2025-12-31,,Submitted,FY25/26,[],0,1,Finance - Banks,Normal companies
48,BANK OF NEW ZEALAND,30-09-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,BANK OF NEW ZEALAND,2024-09-30,,Submitted,FY24/25,['BNZ Climate Statements 2024.pdf'],1,0,Finance - Banks,Normal companies
49,BANK OF NEW ZEALAND,30-09-2024 - Not required to lodge,Normal companies,,,2024,BANK OF NEW ZEALAND,2024-09-30,,Not required to lodge,FY24/25,['BNZ Climate Statements 2024.pdf'],1,0,Finance - Banks,Normal companies
50,BANK OF NEW ZEALAND,30-09-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,BANK OF NEW ZEALAND,2025-09-30,,Submitted,FY25/26,"['BNZ Climate Statement 2025-09-30 (Final) - Signed.pdf', 'BNZ CS and Exemption Notice 2025.pdf']",2,0,Finance - Banks,Normal companies
51,BARRAMUNDI LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,BARRAMUNDI LIMITED,2024-06-30,,Submitted,FY23/24,['Barramundi Limited - Climate Statement - 30 June 2024.pdf'],1,0,Finance - Other,Normal companies
52,BARRAMUNDI LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,BARRAMUNDI LIMITED,2025-06-30,,Submitted,FY24/25,['Barramundi 2025 Climate Statement.pdf'],1,0,Finance - Other,Normal companies
53,BRISCOE GROUP LIMITED,31-01-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,BRISCOE GROUP LIMITED,2025-01-31,,Submitted,FY24/25,['Briscoe Group 2025 Annual Report.pdf'],1,0,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
54,BRISCOE GROUP LIMITED,31-01-2024 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2024,BRISCOE GROUP LIMITED,2024-01-31,1.0,Submitted,FY23/24,"['Briscoe Group 2024 Annual Report.pdf', 'Briscoe Group 2024 Climate-Related Disclosures (amended with Director Signatures).pdf']",2,0,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
55,BRISCOE GROUP LIMITED,31-01-2026 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2026,BRISCOE GROUP LIMITED,2026-01-31,,Submitted,FY25/26,['Briscoe Group - Annual Report 2026.pdf'],1,0,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
56,CDL INVESTMENTS NEW ZEALAND LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,CDL INVESTMENTS NEW ZEALAND LIMITED,2024-12-31,,Submitted,FY24/25,['CDL Climate Statement 28-04-25 (003).pdf'],1,0,Finance - Other,Normal companies
57,CDL INVESTMENTS NEW ZEALAND LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,CDL INVESTMENTS NEW ZEALAND LIMITED,2023-12-31,1.0,Submitted,FY23/24,['CDL0017_Climate_Related_Disclosures_2023.pdf'],1,0,Finance - Other,Normal companies
58,CDL INVESTMENTS NEW ZEALAND LIMITED,31-12-2025 - Due by 30-04-2026,Normal companies,,Have records but not submitted,2025,CDL INVESTMENTS NEW ZEALAND LIMITED,2025-12-31,,Not yet submitted,FY25/26,[],0,1,Finance - Other,Normal companies
59,CHANNEL INFRASTRUCTURE NZ LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,CHANNEL INFRASTRUCTURE NZ LIMITED,2023-12-31,1.0,Submitted,FY23/24,['Resilient infrastructure for a decarbonising world (7) - FINAL 28.02.24 9.30pm.pdf'],1,0,Infrastructure,Normal companies
60,CHANNEL INFRASTRUCTURE NZ LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,CHANNEL INFRASTRUCTURE NZ LIMITED,2024-12-31,,Submitted,FY24/25,['2024 Sustainability Report reduced file new audit report (1).pdf'],1,0,Infrastructure,Normal companies
61,CHANNEL INFRASTRUCTURE NZ LIMITED,31-12-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,CHANNEL INFRASTRUCTURE NZ LIMITED,2025-12-31,,Submitted,FY25/26,['2025 Sustainability Report.pdf'],1,0,Infrastructure,Normal companies
62,CHINA CONSTRUCTION BANK (NEW ZEALAND) LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,CHINA CONSTRUCTION BANK (NEW ZEALAND) LIMITED,2023-12-31,1.0,Submitted,FY23/24,['CCBNZL Climate Report for the year ended 31 December 2023.pdf'],1,0,Finance - Banks,Normal companies
63,CHINA CONSTRUCTION BANK (NEW ZEALAND) LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,CHINA CONSTRUCTION BANK (NEW ZEALAND) LIMITED,2024-12-31,,Submitted,FY24/25,['climate report 2024 sub.pdf'],1,0,Finance - Banks,Normal companies
64,CHINA CONSTRUCTION BANK (NEW ZEALAND) LIMITED,31-12-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,CHINA CONSTRUCTION BANK (NEW ZEALAND) LIMITED,2025-12-31,,Submitted,FY25/26,"['Climate Report_CCBNZL_for year ended 31 December 2025.pdf', '[Reference]NZBA Climate Scenario Narratives Appendices.pdf', '[Reference]NZBA Climate Scenario Narratives.pdf']",3,0,Finance - Banks,Normal companies
65,CHINA CONSTRUCTION BANK CORPORATION,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,CHINA CONSTRUCTION BANK CORPORATION,2024-12-31,,Submitted,FY24/25,['Climate Report 2024 Group.pdf'],1,0,Finance - Banks,Normal companies
66,CHINA CONSTRUCTION BANK CORPORATION,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,CHINA CONSTRUCTION BANK CORPORATION,2023-12-31,,Submitted,FY23/24,['CCBNZBG Climate Report for the year ended 31 December 2023.pdf'],1,0,Finance - Banks,Normal companies
67,CHINA CONSTRUCTION BANK CORPORATION,31-12-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,CHINA CONSTRUCTION BANK CORPORATION,2025-12-31,,Submitted,FY25/26,"['Climate Report_CCBNZB Group_for year ended 31 December 2025.pdf', '[Reference]NZBA Climate Scenario Narratives Appendices.pdf', '[Reference]NZBA Climate Scenario Narratives.pdf']",3,0,Finance - Banks,Normal companies
68,CHORUS LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,CHORUS LIMITED,2024-06-30,,Submitted,FY23/24,['Chorus Climate Statements FY24 (dated and signed as at 26 Aug).pdf'],1,0,Telecom,Normal companies
69,CHORUS LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,CHORUS LIMITED,2025-06-30,,Submitted,FY24/25,['Chorus FY25 Climate Statements.pdf'],1,0,Telecom,Normal companies
70,CHRISTCHURCH CITY HOLDINGS LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,CHRISTCHURCH CITY HOLDINGS LIMITED,2025-06-30,,Submitted,FY24/25,"['CCHL Climate Statement 2025 – web.pdf', 'Exemption notice_CCHL 30 June 2025.pdf']",2,0,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
71,CHRISTCHURCH CITY HOLDINGS LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,CHRISTCHURCH CITY HOLDINGS LIMITED,2024-06-30,,Submitted,FY23/24,['CCHL-Climate-Statement-2024.pdf'],1,0,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
72,CHRISTCHURCH INTERNATIONAL AIRPORT LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,CHRISTCHURCH INTERNATIONAL AIRPORT LIMITED,2024-06-30,,Submitted,FY23/24,"['CIAL - ClimateRelatedDisclosure FY24.pdf', 'CIAL - Independent GHG Inventory Report - FY24.pdf']",2,0,Airport,Normal companies
73,CHRISTCHURCH INTERNATIONAL AIRPORT LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,CHRISTCHURCH INTERNATIONAL AIRPORT LIMITED,2025-06-30,,Submitted,FY24/25,"['20250924-CIAL_GHG inventory basis of preparation_FINAL_REV A.pdf', 'CIALTS25007 Climate Related Disclosure FINAL.pdf', 'TÜV SÜD Verification Opinion - CIAL FY25 9.24.25.pdf']",3,0,Airport,Normal companies
74,CHUBB LIFE INSURANCE NEW ZEALAND LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,CHUBB LIFE INSURANCE NEW ZEALAND LIMITED,2023-12-31,1.0,Submitted,FY23/24,['Chubb Life Insurance New Zealand Limited Climate Disclosure 2023.pdf'],1,0,Finance - Insurance,Normal companies
75,CHUBB LIFE INSURANCE NEW ZEALAND LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,CHUBB LIFE INSURANCE NEW ZEALAND LIMITED,2024-12-31,,Submitted,FY24/25,['2024 Chubb Life Climate Related Disclosures.pdf'],1,0,Finance - Insurance,Normal companies
76,CHUBB LIFE INSURANCE NEW ZEALAND LIMITED,31-12-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,CHUBB LIFE INSURANCE NEW ZEALAND LIMITED,2025-12-31,,Submitted,FY25/26,['Chubb Life NZ_New Zealand Disclosures CRD_FINAL_2026.pdf'],1,0,Finance - Insurance,Normal companies
77,"CITIBANK, N.A.",31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,"CITIBANK, N.A.",2024-12-31,,Submitted,FY24/25,"['Citibank - notice to Registrar of Financial Service Providers FINAL.pdf', 'Citibank CRD Exemption Notice  - FINAL  10.12.24  Signed.pdf']",2,0,Finance - Banks,Normal companies
78,"CITIBANK, N.A.",31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,"CITIBANK, N.A.",2023-12-31,1.0,Submitted,FY23/24,"['2023 Climate Statements for Citibank N.A. (New Zealand Branch).pdf', 'Citibank N.A. (New Zealand Branch) - Statement - 29 APRIL 2024 .pdf']",2,0,Finance - Banks,Normal companies
79,"CITIBANK, N.A.",31-12-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,"CITIBANK, N.A.",2025-12-31,,Submitted,FY25/26,['Citibank - notice to Registrar of Financial Service Providers FINAL 2025.pdf'],1,0,Finance - Banks,Normal companies
80,COMMONWEALTH BANK OF AUSTRALIA,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,COMMONWEALTH BANK OF AUSTRALIA,2024-06-30,,Submitted,FY23/24,"['CBA NZ CEO confirmation of the CBA NZ Climate Statement  for the year ended 30 June 2024.pdf', 'CBA NZ Climate Statement 2024.pdf']",2,0,Finance - Banks,Normal companies
81,COMMONWEALTH BANK OF AUSTRALIA,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,COMMONWEALTH BANK OF AUSTRALIA,2025-06-30,,Submitted,FY24/25,['Letter to CRD re CBA NZ reliance on exemption for 2025.pdf'],1,0,Finance - Banks,Normal companies
82,COMVITA LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,COMVITA LIMITED,2024-06-30,,Submitted,FY23/24,['Comvita Limited Climate Statement FY24.pdf'],1,0,Agriculture,Normal companies
83,COMVITA LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,COMVITA LIMITED,2025-06-30,,Submitted,FY24/25,"['2025 Climate Statement.pdf', '2025 Greenhouse Gas Inventory Report.pdf']",2,0,Agriculture,Normal companies
84,CONTACT ENERGY LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,CONTACT ENERGY LIMITED,2024-06-30,,Submitted,FY23/24,['CON045 Climate Disclosure 24V.pdf'],1,0,Energy,Normal companies
85,CONTACT ENERGY LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,CONTACT ENERGY LIMITED,2025-06-30,,Submitted,FY24/25,['180825  Climate Statement.pdf'],1,0,Energy,Normal companies
86,COOPERATIEVE RABOBANK U.A.,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,COOPERATIEVE RABOBANK U.A.,2024-12-31,,Submitted,FY24/25,"['ClimateStatements_2024_NZBG_Final.pdf', 'Letter to Registrar - CRUA Climate Statements_.pdf']",2,0,Finance - Banks,Normal companies
87,COOPERATIEVE RABOBANK U.A.,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,COOPERATIEVE RABOBANK U.A.,2023-12-31,,Submitted,FY23/24,['Rabobank New Zealand Banking Group 2023 Climate Statements.pdf'],1,0,Finance - Banks,Normal companies
88,COOPERATIEVE RABOBANK U.A.,31-12-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,COOPERATIEVE RABOBANK U.A.,2025-12-31,,Submitted,FY25/26,['Annual Report 2025 (NZ) Lodgement.pdf'],1,0,Finance - Banks,Normal companies
89,DELEGAT GROUP LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,DELEGAT GROUP LIMITED,2024-06-30,,Submitted,FY23/24,['DGL Climate-Related Disclosure 2024.pdf'],1,0,Agriculture,Normal companies
90,DELEGAT GROUP LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,DELEGAT GROUP LIMITED,2025-06-30,,Submitted,FY24/25,['DGL - 2025 Climate-Related Disclosure Report.pdf'],1,0,Agriculture,Normal companies
