CRE Name,Reporting Entity Status,NZBN,Actions,Link
ASB GROUP INVESTMENTS LIMITED,Registered,9429039025791,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=6f6c5ca5-8394-ee11-be37-00224892b34a
ASSET PLUS LIMITED,Registered,9429031430098,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=b36b5ca5-8394-ee11-be37-00224892b34a
ASTERON LIFE LIMITED,Registered,9429040905464,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=8f6b5ca5-8394-ee11-be37-00224892b34a
AUCKLAND COUNCIL,Registered,9429000034753,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=b56b5ca5-8394-ee11-be37-00224892b34a
AUCKLAND INTERNATIONAL AIRPORT LIMITED,Registered,9429039490162,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=b76b5ca5-8394-ee11-be37-00224892b34a
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,Registered,9429039809797,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=f6eb3e2e-0f59-ef11-bfe2-002248931409
AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,Registered,9429038280597,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=b96b5ca5-8394-ee11-be37-00224892b34a
BANK OF CHINA (NEW ZEALAND) LIMITED,Registered,9429041280874,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=676b5ca5-8394-ee11-be37-00224892b34a
BANK OF CHINA LIMITED,Registered,9429046706850,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=696b5ca5-8394-ee11-be37-00224892b34a
BANK OF NEW ZEALAND,Registered,9429039342188,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=4ea9daa0-1c55-ef11-bfe2-002248931409
BARRAMUNDI LIMITED,Registered,9429033885575,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=bb6b5ca5-8394-ee11-be37-00224892b34a
BNZ INVESTMENT SERVICES LIMITED,Registered,9429032532593,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=716c5ca5-8394-ee11-be37-00224892b34a
BOOSTER INVESTMENT MANAGEMENT LIMITED,Registered,9429037597320,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=736c5ca5-8394-ee11-be37-00224892b34a
BRISCOE GROUP LIMITED,Registered,9429039267313,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=bd6b5ca5-8394-ee11-be37-00224892b34a
BT FUNDS MANAGEMENT (NZ) LIMITED,Registered,9429039285126,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=756c5ca5-8394-ee11-be37-00224892b34a
CDL INVESTMENTS NEW ZEALAND LIMITED,Registered,9429039924230,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=bf6b5ca5-8394-ee11-be37-00224892b34a
CENTURIA FUNDS MANAGEMENT (NZ) LIMITED,Registered,9429030734937,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=776c5ca5-8394-ee11-be37-00224892b34a
CHANNEL INFRASTRUCTURE NZ LIMITED,Registered,9429040663333,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=c16b5ca5-8394-ee11-be37-00224892b34a
CHINA CONSTRUCTION BANK (NEW ZEALAND) LIMITED,Registered,9429041075890,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=6b6b5ca5-8394-ee11-be37-00224892b34a
CHINA CONSTRUCTION BANK CORPORATION,Registered,9429046559289,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=6d6b5ca5-8394-ee11-be37-00224892b34a
CHORUS LIMITED,Registered,9429031035040,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=c36b5ca5-8394-ee11-be37-00224892b34a
CHRISTCHURCH CITY HOLDINGS LIMITED,Registered,9429038759475,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=c56b5ca5-8394-ee11-be37-00224892b34a
CHRISTCHURCH INTERNATIONAL AIRPORT LIMITED,Registered,9429039502940,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=c76b5ca5-8394-ee11-be37-00224892b34a
Chubb Insurance New Zealand Limited,Registered,9429040398037,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=15e7d878-5934-f111-88b4-7c1e52626825
CHUBB LIFE INSURANCE NEW ZEALAND LIMITED,Registered,9429040894492,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=916b5ca5-8394-ee11-be37-00224892b34a
"CITIBANK, N.A.",Registered,9429039497765,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=6f6b5ca5-8394-ee11-be37-00224892b34a
COMMONWEALTH BANK OF AUSTRALIA,Registered,9429037206192,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=716b5ca5-8394-ee11-be37-00224892b34a
COMVITA LIMITED,Registered,9429040077536,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=c96b5ca5-8394-ee11-be37-00224892b34a
CONTACT ENERGY LIMITED,Registered,9429038549977,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=cb6b5ca5-8394-ee11-be37-00224892b34a
COOPERATIEVE RABOBANK U.A.,Registered,9429038354397,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=736b5ca5-8394-ee11-be37-00224892b34a
DELEGAT GROUP LIMITED,Registered,9429039055422,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=cd6b5ca5-8394-ee11-be37-00224892b34a
DOWNER EDI LIMITED,Registered,,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=3d71acd2-ac5b-ef11-bfe3-000d3ad07dfe
EBOS GROUP LIMITED,Registered,9429031998840,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=cf6b5ca5-8394-ee11-be37-00224892b34a
EROAD LIMITED,Registered,9429037254377,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=d16b5ca5-8394-ee11-be37-00224892b34a
F&C INVESTMENT TRUST PLC,Registered,9429038734472,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=d36b5ca5-8394-ee11-be37-00224892b34a
FIDELITY LIFE ASSURANCE COMPANY LIMITED,Registered,9429040548623,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=936b5ca5-8394-ee11-be37-00224892b34a
FIRST MORTGAGE MANAGERS LIMITED,Registered,9429038360961,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=796c5ca5-8394-ee11-be37-00224892b34a
FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,Registered,9429040719887,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=d56b5ca5-8394-ee11-be37-00224892b34a
FISHER FUNDS MANAGEMENT LIMITED,Registered,9429037864354,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=7b6c5ca5-8394-ee11-be37-00224892b34a
FISHER FUNDS WEALTH LIMITED,Registered,9429034404119,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=876c5ca5-8394-ee11-be37-00224892b34a
FLETCHER BUILDING INDUSTRIES LIMITED,Registered,9429036277827,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=d76b5ca5-8394-ee11-be37-00224892b34a
FLETCHER BUILDING LIMITED,Registered,9429037065836,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=d96b5ca5-8394-ee11-be37-00224892b34a
FMG INSURANCE LIMITED,Registered,9429034181225,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=956b5ca5-8394-ee11-be37-00224892b34a
FOLEY WINES LIMITED,Registered,9429000001311,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=db6b5ca5-8394-ee11-be37-00224892b34a
FONTERRA CO-OPERATIVE GROUP LIMITED,Registered,9429036748471,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=0aac69fc-3208-ef11-9f89-002248954af0
FREIGHTWAYS GROUP LIMITED,Registered,9429036246380,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=dd6b5ca5-8394-ee11-be37-00224892b34a
FUNDROCK NZ LIMITED,Registered,9429031398602,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=7d6c5ca5-8394-ee11-be37-00224892b34a
GENERATE INVESTMENT MANAGEMENT LIMITED,Registered,9429030374034,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=7f6c5ca5-8394-ee11-be37-00224892b34a
GENESIS ENERGY LIMITED,Registered,9429037706609,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=df6b5ca5-8394-ee11-be37-00224892b34a
GENTRACK GROUP LIMITED,Registered,9429030723047,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=385d6603-b306-ef11-9f89-00224898287c
GMT BOND ISSUER LIMITED,Registered,9429031789004,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=e16b5ca5-8394-ee11-be37-00224892b34a
GOODMAN PROPERTY SERVICES (NZ) LIMITED,Registered,9429036095070,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=a9258d88-9253-ef11-bfe2-002248931409
GREEN CROSS HEALTH LIMITED,Registered,9429037684754,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=e36b5ca5-8394-ee11-be37-00224892b34a
HALLENSTEIN GLASSON HOLDINGS LIMITED,Registered,9429040315324,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=15f456e5-6c12-ef11-9f89-00224898287c
HARBOUR ASSET MANAGEMENT LIMITED,Registered,9429034228791,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=836c5ca5-8394-ee11-be37-00224892b34a
HEARTLAND BANK LIMITED,Registered,9429031360449,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=756b5ca5-8394-ee11-be37-00224892b34a
HEARTLAND GROUP HOLDINGS LIMITED,Registered,9429046912374,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=e56b5ca5-8394-ee11-be37-00224892b34a
HENDERSON FAR EAST INCOME LIMITED,Registered,9429033059181,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=4e289ebd-1159-ef11-bfe2-002248931409
IAG NEW ZEALAND LIMITED,Registered,9429039302748,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=976b5ca5-8394-ee11-be37-00224892b34a
IKEGPS GROUP LIMITED,Registered,9429036029341,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=e96b5ca5-8394-ee11-be37-00224892b34a
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (NEW ZEALAND) LIMITED,Registered,9429030309739,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=776b5ca5-8394-ee11-be37-00224892b34a
INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,Registered,9429048239035,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=796b5ca5-8394-ee11-be37-00224892b34a
INFRATIL LIMITED,Registered,9429038818684,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=eb6b5ca5-8394-ee11-be37-00224892b34a
INSURANCE AUSTRALIA GROUP LIMITED,Registered,,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=ed6b5ca5-8394-ee11-be37-00224892b34a
INVESTORE PROPERTY LIMITED,Registered,9429042006237,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=ef6b5ca5-8394-ee11-be37-00224892b34a
"JPMORGAN CHASE BANK, N.A.",Registered,9429033103686,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=7b6b5ca5-8394-ee11-be37-00224892b34a
KINGFISH LIMITED,Registered,9429035571216,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=f16b5ca5-8394-ee11-be37-00224892b34a
KIWI PROPERTY GROUP LIMITED,Registered,9429041457610,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=f36b5ca5-8394-ee11-be37-00224892b34a
KIWI WEALTH INVESTMENTS LIMITED PARTNERSHIP,Registered,9429043093236,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=856c5ca5-8394-ee11-be37-00224892b34a
KIWIBANK LIMITED,Registered,9429036917211,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=7d6b5ca5-8394-ee11-be37-00224892b34a
KMD BRANDS LIMITED,Registered,9429000024440,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=fc725750-bc06-ef11-9f89-00224898287c
LIVESTOCK IMPROVEMENT CORPORATION LIMITED,Registered,9429039566119,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=f56b5ca5-8394-ee11-be37-00224892b34a
MAINFREIGHT LIMITED,Registered,9429040418087,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=f76b5ca5-8394-ee11-be37-00224892b34a
MANAWA ENERGY LIMITED,Registered,9429038917912,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=f96b5ca5-8394-ee11-be37-00224892b34a
MARLIN GLOBAL LIMITED,Registered,9429033149561,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=fb6b5ca5-8394-ee11-be37-00224892b34a
MARSDEN MARITIME HOLDINGS LIMITED,Registered,9429039463005,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=fd6b5ca5-8394-ee11-be37-00224892b34a
MEDICAL FUNDS MANAGEMENT LIMITED,Registered,9429039171085,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=896c5ca5-8394-ee11-be37-00224892b34a
MERCER (N.Z.) LIMITED,Registered,9429040873121,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=8b6c5ca5-8394-ee11-be37-00224892b34a
MERCURY NZ LIMITED,Registered,9429037705305,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=ff6b5ca5-8394-ee11-be37-00224892b34a
MERIDIAN ENERGY LIMITED,Registered,9429037696863,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=016c5ca5-8394-ee11-be37-00224892b34a
METLIFECARE LIMITED,Registered,9429039960740,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=036c5ca5-8394-ee11-be37-00224892b34a
MICHAEL HILL INTERNATIONAL LIMITED,Registered,,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=056c5ca5-8394-ee11-be37-00224892b34a
MILFORD FUNDS LIMITED,Registered,9429033222271,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=8d6c5ca5-8394-ee11-be37-00224892b34a
MILLENNIUM & COPTHORNE HOTELS NEW ZEALAND LIMITED,Registered,9429039146045,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=076c5ca5-8394-ee11-be37-00224892b34a
MOVE LOGISTICS GROUP LIMITED,Registered,9429037363611,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=096c5ca5-8394-ee11-be37-00224892b34a
"MUFG BANK, LTD.",Registered,9429035544883,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=7f6b5ca5-8394-ee11-be37-00224892b34a
NAPIER PORT HOLDINGS LIMITED,Registered,9429047506299,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=58c678ed-3916-ef11-840a-00224894d8a4
NELSON BUILDING SOCIETY,Registered,9429043042661,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=9b6c5ca5-8394-ee11-be37-00224892b34a
NEW ZEALAND FUNDS MANAGEMENT LIMITED,Registered,9429039444158,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=8f6c5ca5-8394-ee11-be37-00224892b34a
NEW ZEALAND KING SALMON INVESTMENTS LIMITED,Registered,9429032611540,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=0b6c5ca5-8394-ee11-be37-00224892b34a
NEW ZEALAND LOCAL GOVERNMENT FUNDING AGENCY LIMITED,Registered,9429030861961,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=0d6c5ca5-8394-ee11-be37-00224892b34a
NEW ZEALAND RURAL LAND COMPANY LIMITED,Registered,9429048619509,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=116c5ca5-8394-ee11-be37-00224892b34a
NIB NZ LIMITED,Registered,9429038788932,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=996b5ca5-8394-ee11-be37-00224892b34a
NIKKO ASSET MANAGEMENT NEW ZEALAND LIMITED,Registered,9429038788291,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=916c5ca5-8394-ee11-be37-00224892b34a
NORTHWEST HEALTHCARE PROPERTIES MANAGEMENT LIMITED,Registered,9429038991493,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=936c5ca5-8394-ee11-be37-00224892b34a
NUFARM FINANCE (NZ) LIMITED,Registered,9429040382128,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=101a306d-1022-ef11-840a-000d3acab122
NZME LIMITED,Registered,9429036668007,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=136c5ca5-8394-ee11-be37-00224892b34a
NZX LIMITED,Registered,9429036186358,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=156c5ca5-8394-ee11-be37-00224892b34a
OCEANIA HEALTHCARE LIMITED,Registered,9429034676066,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=176c5ca5-8394-ee11-be37-00224892b34a
PACIFIC EDGE LIMITED,Registered,9429036991945,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=196c5ca5-8394-ee11-be37-00224892b34a
PARTNERS LIFE LIMITED,Registered,9429031409889,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=9b6b5ca5-8394-ee11-be37-00224892b34a
PGG WRIGHTSON LIMITED,Registered,9429040323497,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=1b6c5ca5-8394-ee11-be37-00224892b34a
PIE FUNDS MANAGEMENT LIMITED,Registered,9429033253800,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=956c5ca5-8394-ee11-be37-00224892b34a
PORT OF TAURANGA LIMITED,Registered,9429039540300,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=1d6c5ca5-8394-ee11-be37-00224892b34a
PRECINCT PROPERTIES NEW ZEALAND LIMITED,Registered,9429031565783,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=1f6c5ca5-8394-ee11-be37-00224892b34a
PROPERTY FOR INDUSTRY LIMITED,Registered,9429038826672,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=216c5ca5-8394-ee11-be37-00224892b34a
QBE INSURANCE (AUSTRALIA) LIMITED,Registered,9429042054160,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=9d6b5ca5-8394-ee11-be37-00224892b34a
QUAYSIDE HOLDINGS LIMITED,Registered,9429039147226,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=236c5ca5-8394-ee11-be37-00224892b34a
RABOBANK NEW ZEALAND LIMITED,Registered,9429040969855,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=816b5ca5-8394-ee11-be37-00224892b34a
RADIUS RESIDENTIAL CARE LIMITED,Registered,9429035991007,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=256c5ca5-8394-ee11-be37-00224892b34a
RAKON LIMITED,Registered,9429039193186,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=276c5ca5-8394-ee11-be37-00224892b34a
RESOLUTION LIFE AUSTRALASIA LIMITED,Registered,9429039817211,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=9f6b5ca5-8394-ee11-be37-00224892b34a
RESTAURANT BRANDS NEW ZEALAND LIMITED,Registered,9429038138775,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=296c5ca5-8394-ee11-be37-00224892b34a
RYMAN HEALTHCARE LIMITED,Registered,9429039629517,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=2b6c5ca5-8394-ee11-be37-00224892b34a
SANFORD LIMITED,Registered,9429000010856,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=e1105693-c006-ef11-9f89-00224898287c
SCALES CORPORATION LIMITED,Registered,9429039355249,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=2d6c5ca5-8394-ee11-be37-00224892b34a
SCOTT TECHNOLOGY LIMITED,Registered,9429040320830,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=b6eab194-0240-ef11-a316-000d3ad1282f
SEEKA LIMITED,Registered,9429039617347,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=2f6c5ca5-8394-ee11-be37-00224892b34a
SERKO LIMITED,Registered,9429033492179,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=316c5ca5-8394-ee11-be37-00224892b34a
SIMPLICITY NZ LIMITED,Registered,9429041767092,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=976c5ca5-8394-ee11-be37-00224892b34a
SKELLERUP HOLDINGS LIMITED,Registered,9429039662606,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=336c5ca5-8394-ee11-be37-00224892b34a
SKY NETWORK TELEVISION LIMITED,Registered,9429035067818,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=356c5ca5-8394-ee11-be37-00224892b34a
SKYCITY ENTERTAINMENT GROUP LIMITED,Registered,9429038769528,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=376c5ca5-8394-ee11-be37-00224892b34a
SMARTPAY HOLDINGS LIMITED,Registered,9429039735690,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=396c5ca5-8394-ee11-be37-00224892b34a
SMARTSHARES LIMITED,Registered,9429038512483,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=996c5ca5-8394-ee11-be37-00224892b34a
SOUTH PORT NEW ZEALAND LIMITED,Registered,9429039452528,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=3b6c5ca5-8394-ee11-be37-00224892b34a
SOUTHERN CROSS MEDICAL CARE SOCIETY,Registered,9429043036400,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=a16b5ca5-8394-ee11-be37-00224892b34a
SOUTHLAND BUILDING SOCIETY,Registered,9429043042654,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=836b5ca5-8394-ee11-be37-00224892b34a
SPARK FINANCE LIMITED,Registered,9429039076847,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=3d6c5ca5-8394-ee11-be37-00224892b34a
SPARK NEW ZEALAND LIMITED,Registered,9429039661098,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=3f6c5ca5-8394-ee11-be37-00224892b34a
STEEL & TUBE HOLDINGS LIMITED,Registered,9429040949390,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=416c5ca5-8394-ee11-be37-00224892b34a
STRIDE INVESTMENT MANAGEMENT LIMITED,Registered,9429042189435,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=436c5ca5-8394-ee11-be37-00224892b34a
STRIDE PROPERTY LIMITED,Registered,9429035963950,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=456c5ca5-8394-ee11-be37-00224892b34a
SUMMERSET GROUP HOLDINGS LIMITED,Registered,9429035141679,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=476c5ca5-8394-ee11-be37-00224892b34a
SWISS RE LIFE & HEALTH AUSTRALIA LIMITED,Registered,9429040975696,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=a36b5ca5-8394-ee11-be37-00224892b34a
SYNLAIT MILK LIMITED,Registered,9429034950883,View details,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=e30f932d-1359-ef11-bfe2-002248931409
