Value,Type,file_name,clean_value,count
Scope 3 GHG emissions1,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,scope ghg emiss,2
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
DocuSign Envelope,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,docusign envelop,56
PFI’s Board,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi board,3
Oversees,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,overse,11
Oversees,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,overse,11
Board Audit & Risk Committee,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,board audit risk committe,9
Board,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,board,677
PFI’s Climate,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi climat,2
PFI’s,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI’s,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
Board,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,board,677
PFI’s,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
the Senior Leadership Team,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,senior leadership team,6
PFI’s Climate,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi climat,2
"Management Sustainability Meetings
Meets",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,manag sustain meet meet,1
PFI’s Sustainability Strategy,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi sustain strategi,1
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
the Senior Leadership Team,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,senior leadership team,6
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
DocuSign Envelope,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,docusign envelop,56
PFI’s Board of Directors,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi board director,1
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
Board,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,board,677
Sustainability Strategy,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,sustain strategi,10
Board,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,board,677
Audit and Risk Committee,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,audit risk committe,81
the Audit and Risk Committee,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,audit risk committe,81
Board,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,board,677
"The Audit and Risk 
Committee",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,audit risk committe,81
Board,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,board,677
Company’s,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,compani,182
Climate-,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,climat,142
Social and Governance,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,social govern,1
PFI’s Audit and Risk Committee,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi audit risk committe,2
Board,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,board,677
Board,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,board,677
"The 
Board",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,board,677
"Green 
Star certification2",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,green star certif,2
Board,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,board,677
Board,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,board,677
PFI’s Board,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi board,3
PFI’s,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
Green Star,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,green star,23
Green Building Council,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,green build council,1
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI’s,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
Board,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,board,677
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
Board of Directors -,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,board director,24
DEAN,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,dean,1
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
DocuSign Envelope,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,docusign envelop,56
Board,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,board,677
ESG,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,esg,322
Skills Matrix,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,skill matrix,5
Board,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,board,677
PFI’s Board,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi board,3
Board,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,board,677
Sustainability and Operations,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,sustain oper,2
PFI’s,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
Company’s,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,compani,182
"PFI’s Risk 
Management Framework",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi risk manag framework,4
Board,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,board,677
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
"the Risk 
Management Section",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,risk manag section,1
Sustainability and Operations,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,sustain oper,2
Sustainability Strategy,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,sustain strategi,10
PFI’s,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
The Senior Leadership Team,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,senior leadership team,6
"PFI’s 
Board and Audit and Risk Committee",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi board audit risk committe,1
Audit and Risk Committee,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,audit risk committe,81
PFI’s,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
DocuSign Envelope,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,docusign envelop,56
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
Green Star,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,green star,23
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
EMISSIONSRESOURCES,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,emissionsresourc,1
WASTEDISASTER,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,wastedisast,1
RESILIENCEPEOPLE,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,resiliencepeopl,1
WELLBEINGECONOMIC,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,wellbeingeconom,1
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
DocuSign Envelope,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,docusign envelop,56
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
Climate,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,climat,142
House,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,hous,20
NZGBC’s,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,nzgbc,1
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
the Senior Leadership Team,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,senior leadership team,6
Board,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,board,677
PFI’s,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
Company’s,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,compani,182
"the New Zealand Green Building 
Council",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,new zealand green build council,1
Beca Limited,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,beca limit,2
"the Technical 
Working Group",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,technic work group,1
Climate Scenarios,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,climat scenario,5
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
Hot House World,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,hot hous world,2
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
HORIZON,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,horizon,2
WALT,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,walt,1
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
DocuSign Envelope,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,docusign envelop,56
C�,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,c,12
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
"New Zealand’s Emissions Trading 
Scheme",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,new zealand emiss trade scheme,6
CCS,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,ccs,10
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
DocuSign Envelope,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,docusign envelop,56
SCENARIOS,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,scenario,11
Paris Agreement Goals,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pari agreement goal,1
Limited,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,limit,26
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
DocuSign Envelope,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,docusign envelop,56
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
New Zealand’s,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,new zealand,47
Mandates,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,mandat,1
New Zealand’s,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,new zealand,47
CHot House,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,chot hous,1
CONTENTS,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,content,3
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
DocuSign Envelope,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,docusign envelop,56
"Regulatory Change  
Transition Risk - Policy",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,regulatori chang transit risk polici,1
Purchaser Demand for Sustainable Buildings,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,purchas demand sustain build,1
§We,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,,105
Green Star,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,green star,23
"Purchaser Demand for Resilient Buildings  
Transition Risk - Market",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,purchas demand resili build transit risk market,1
PFI’s,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI’s,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
the Risk Management,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,risk manag,99
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
DocuSign Envelope,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,docusign envelop,56
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
including�,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,includ,2
§We,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,,105
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
§We,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,,105
Green Star,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,green star,23
Green Finance Framework,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,green financ framework,3
Green Star,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,green star,23
"Extreme Weather Events  
Physical Risk - Acute",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,extrem weather event physic risk acut,1
"Physical 
Climate-Related Risks",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,physic climat relat risk,1
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
§We,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,,105
§We,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,,105
PFI’s,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
§We,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,,105
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
DocuSign Envelope,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,docusign envelop,56
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
Council,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,council,5
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
Global Climanomics,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,global climanom,2
Global Climanomics,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,global climanom,2
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
S&P Global’s,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,p global,1
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
Climanomics,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,climanom,3
Shared Socioeconomic Pathways,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,share socioeconom pathway,5
SSP1-2.6,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,ssp,15
SSP2-4.5,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,ssp,15
House,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,hous,20
House,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,hous,20
https:/ /experience.arcgis.com/,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,https experi arcgi com,1
S&P Global’s Climanomics,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,p global climanom,2
Target,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,target,30
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
NIWA,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,niwa,77
NIWA,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,niwa,77
Crown Research Institute,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,crown research institut,6
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
DocuSign Envelope,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,docusign envelop,56
OPPORTUNITY,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,opportun,7
value�,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,valu,13
TransitionShort,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,transitionshort,3
Green Star Certification,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,green star certif,2
Green Star,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,green star,23
Green Star,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,green star,23
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
TransitionShort,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,transitionshort,3
PFI’s,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
House,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,hous,20
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
Green Finance Framework,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,green financ framework,3
Green Star,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,green star,23
TransitionShort,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,transitionshort,3
CONTENTS,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,content,3
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
DocuSign Envelope,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,docusign envelop,56
"Capital Deployment and Funding 
Our",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,capit deploy fund,1
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
Green Star,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,green star,23
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
Green Finance,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,green financ,3
Auckland (Auckland,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,auckland auckland,1
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
"Insurance Risk
PFI",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,insur risk pfi,1
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
DocuSign Envelope,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,docusign envelop,56
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
Company’s,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,compani,182
Government,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,govern,17
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
Transition Planning,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,transit plan,1
Adoption Provision,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,adopt provis,14
NZ CS 2,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,nz cs,64
PFI’s sustainability,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi sustain,1
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI’s,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
Green Star,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,green star,23
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
DocuSign Envelope,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,docusign envelop,56
Sustainability,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,sustain,101
Operations,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,oper,7
Senior Leadership Team,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,senior leadership team,6
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
"the 
Board",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,board,677
PFI’s Risk Management Framework,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi risk manag framework,4
"Risk Management 
Framework",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,risk manag framework,45
PFI’s,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
DocuSign Envelope,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,docusign envelop,56
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
Sustainability Strategy,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,sustain strategi,10
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI’s,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
"Overall Risk 
Management Process",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,overal risk manag process,2
"PFI’s Risk Management 
Framework",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi risk manag framework,4
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
"the Audit and Risk 
Committee",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,audit risk committe,81
PFI’s Audit and Risk Committee,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi audit risk committe,2
