,Link,Company Name,Text,text_new,Scheme Name,status,scheme,Due Date,Submit Date
13,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=676b5ca5-8394-ee11-be37-00224892b34a,BANK OF CHINA (NEW ZEALAND) LIMITED,"Reporting Period
. sort descending
Actions
31-12-2023 - Due by 30-04-2024",31-12-2023 - Due by 30-04-2024,,Have records but not submitted,Company,31/12/2023,30/04/2024
14,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=696b5ca5-8394-ee11-be37-00224892b34a,BANK OF CHINA LIMITED,"Reporting Period
. sort descending
Actions
31-12-2023 - Due by 30-04-2024",31-12-2023 - Due by 30-04-2024,,Have records but not submitted,Company,31/12/2023,30/04/2024
15,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=bb6b5ca5-8394-ee11-be37-00224892b34a,BARRAMUNDI LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
16,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=bd6b5ca5-8394-ee11-be37-00224892b34a,BRISCOE GROUP LIMITED,"Reporting Period
. sort descending
Actions
31-01-2024 - Click to view Climate Statement/s",31-01-2024 - Click to view Climate Statement/s,,Have records and have submitted,Company,0,0
17,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=bf6b5ca5-8394-ee11-be37-00224892b34a,CDL INVESTMENTS NEW ZEALAND LIMITED,"Reporting Period
. sort descending
Actions
31-12-2023 - Click to view Climate Statement/s",31-12-2023 - Click to view Climate Statement/s,,Have records and have submitted,Company,0,0
18,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=c16b5ca5-8394-ee11-be37-00224892b34a,CHANNEL INFRASTRUCTURE NZ LIMITED,"Reporting Period
. sort descending
Actions
31-12-2023 - Click to view Climate Statement/s",31-12-2023 - Click to view Climate Statement/s,,Have records and have submitted,Company,0,0
19,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=6b6b5ca5-8394-ee11-be37-00224892b34a,CHINA CONSTRUCTION BANK (NEW ZEALAND) LIMITED,"Reporting Period
. sort descending
Actions
31-12-2023 - Due by 30-04-2024",31-12-2023 - Due by 30-04-2024,,Have records but not submitted,Company,31/12/2023,30/04/2024
20,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=6d6b5ca5-8394-ee11-be37-00224892b34a,CHINA CONSTRUCTION BANK CORPORATION,"Reporting Period
. sort descending
Actions
31-12-2023 - Due by 30-04-2024",31-12-2023 - Due by 30-04-2024,,Have records but not submitted,Company,31/12/2023,30/04/2024
21,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=c36b5ca5-8394-ee11-be37-00224892b34a,CHORUS LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
22,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=c56b5ca5-8394-ee11-be37-00224892b34a,CHRISTCHURCH CITY HOLDINGS LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
23,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=c76b5ca5-8394-ee11-be37-00224892b34a,CHRISTCHURCH INTERNATIONAL AIRPORT LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
24,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=916b5ca5-8394-ee11-be37-00224892b34a,CHUBB LIFE INSURANCE NEW ZEALAND LIMITED,"Reporting Period
. sort descending
Actions
31-12-2023 - Due by 30-04-2024",31-12-2023 - Due by 30-04-2024,,Have records but not submitted,Company,31/12/2023,30/04/2024
25,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=6f6b5ca5-8394-ee11-be37-00224892b34a,"CITIBANK, N.A.","Reporting Period
. sort descending
Actions
31-12-2023 - Due by 30-04-2024",31-12-2023 - Due by 30-04-2024,,Have records but not submitted,Company,31/12/2023,30/04/2024
26,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=716b5ca5-8394-ee11-be37-00224892b34a,COMMONWEALTH BANK OF AUSTRALIA,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
27,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=c96b5ca5-8394-ee11-be37-00224892b34a,COMVITA LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
28,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=cb6b5ca5-8394-ee11-be37-00224892b34a,CONTACT ENERGY LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
29,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=736b5ca5-8394-ee11-be37-00224892b34a,COOPERATIEVE RABOBANK U.A.,"Reporting Period
. sort descending
Actions
31-12-2023 - Due by 30-04-2024",31-12-2023 - Due by 30-04-2024,,Have records but not submitted,Company,31/12/2023,30/04/2024
30,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=cd6b5ca5-8394-ee11-be37-00224892b34a,DELEGAT GROUP LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
31,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=cf6b5ca5-8394-ee11-be37-00224892b34a,EBOS GROUP LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
32,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=d16b5ca5-8394-ee11-be37-00224892b34a,EROAD LIMITED,"Reporting Period
. sort descending
Actions
31-03-2024 - Due by 31-07-2024",31-03-2024 - Due by 31-07-2024,,Have records but not submitted,Company,31/03/2024,31/07/2024
33,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=d36b5ca5-8394-ee11-be37-00224892b34a,F&C INVESTMENT TRUST PLC,"Reporting Period
. sort descending
Actions
31-12-2023 - Due by 30-04-2024",31-12-2023 - Due by 30-04-2024,,Have records but not submitted,Company,31/12/2023,30/04/2024
34,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=936b5ca5-8394-ee11-be37-00224892b34a,FIDELITY LIFE ASSURANCE COMPANY LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
35,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=d56b5ca5-8394-ee11-be37-00224892b34a,FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,"Reporting Period
. sort descending
Actions
31-03-2024 - Due by 31-07-2024",31-03-2024 - Due by 31-07-2024,,Have records but not submitted,Company,31/03/2024,31/07/2024
36,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=d76b5ca5-8394-ee11-be37-00224892b34a,FLETCHER BUILDING INDUSTRIES LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
37,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=d96b5ca5-8394-ee11-be37-00224892b34a,FLETCHER BUILDING LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
38,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=956b5ca5-8394-ee11-be37-00224892b34a,FMG INSURANCE LIMITED,"Reporting Period
. sort descending
Actions
31-03-2024 - Due by 31-07-2024",31-03-2024 - Due by 31-07-2024,,Have records but not submitted,Company,31/03/2024,31/07/2024
39,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=db6b5ca5-8394-ee11-be37-00224892b34a,FOLEY WINES LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
40,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=dd6b5ca5-8394-ee11-be37-00224892b34a,FREIGHTWAYS GROUP LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
41,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=df6b5ca5-8394-ee11-be37-00224892b34a,GENESIS ENERGY LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
42,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=e16b5ca5-8394-ee11-be37-00224892b34a,GMT BOND ISSUER LIMITED,"Reporting Period
. sort descending
Actions
31-03-2024 - Due by 31-07-2024",31-03-2024 - Due by 31-07-2024,,Have records but not submitted,Company,31/03/2024,31/07/2024
43,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=e36b5ca5-8394-ee11-be37-00224892b34a,GREEN CROSS HEALTH LIMITED,"Reporting Period
. sort descending
Actions
31-03-2024 - Due by 31-07-2024",31-03-2024 - Due by 31-07-2024,,Have records but not submitted,Company,31/03/2024,31/07/2024
44,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=756b5ca5-8394-ee11-be37-00224892b34a,HEARTLAND BANK LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
45,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=e56b5ca5-8394-ee11-be37-00224892b34a,HEARTLAND GROUP HOLDINGS LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
46,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=e76b5ca5-8394-ee11-be37-00224892b34a,HOUSING NEW ZEALAND LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
47,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=976b5ca5-8394-ee11-be37-00224892b34a,IAG NEW ZEALAND LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
48,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=e96b5ca5-8394-ee11-be37-00224892b34a,IKEGPS GROUP LIMITED,"Reporting Period
. sort descending
Actions
31-03-2024 - Due by 31-07-2024",31-03-2024 - Due by 31-07-2024,,Have records but not submitted,Company,31/03/2024,31/07/2024
49,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=776b5ca5-8394-ee11-be37-00224892b34a,INDUSTRIAL AND COMMERCIAL BANK OF CHINA (NEW ZEALAND) LIMITED,"Reporting Period
. sort descending
Actions
31-12-2023 - Due by 30-04-2024",31-12-2023 - Due by 30-04-2024,,Have records but not submitted,Company,31/12/2023,30/04/2024
50,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=796b5ca5-8394-ee11-be37-00224892b34a,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,"Reporting Period
. sort descending
Actions
31-12-2023 - Due by 30-04-2024",31-12-2023 - Due by 30-04-2024,,Have records but not submitted,Company,31/12/2023,30/04/2024
51,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=eb6b5ca5-8394-ee11-be37-00224892b34a,INFRATIL LIMITED,"Reporting Period
. sort descending
Actions
31-03-2024 - Due by 31-07-2024",31-03-2024 - Due by 31-07-2024,,Have records but not submitted,Company,31/03/2024,31/07/2024
52,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=ed6b5ca5-8394-ee11-be37-00224892b34a,INSURANCE AUSTRALIA GROUP LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
53,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=ef6b5ca5-8394-ee11-be37-00224892b34a,INVESTORE PROPERTY LIMITED,"Reporting Period
. sort descending
Actions
31-03-2024 - Due by 31-07-2024",31-03-2024 - Due by 31-07-2024,,Have records but not submitted,Company,31/03/2024,31/07/2024
54,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=7b6b5ca5-8394-ee11-be37-00224892b34a,"JPMORGAN CHASE BANK, N.A.","Reporting Period
. sort descending
Actions
31-12-2023 - Due by 30-04-2024",31-12-2023 - Due by 30-04-2024,,Have records but not submitted,Company,31/12/2023,30/04/2024
55,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=f16b5ca5-8394-ee11-be37-00224892b34a,KINGFISH LIMITED,"Reporting Period
. sort descending
Actions
31-03-2024 - Due by 31-07-2024",31-03-2024 - Due by 31-07-2024,,Have records but not submitted,Company,31/03/2024,31/07/2024
56,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=f36b5ca5-8394-ee11-be37-00224892b34a,KIWI PROPERTY GROUP LIMITED,"Reporting Period
. sort descending
Actions
31-03-2024 - Due by 31-07-2024",31-03-2024 - Due by 31-07-2024,,Have records but not submitted,Company,31/03/2024,31/07/2024
57,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=7d6b5ca5-8394-ee11-be37-00224892b34a,KIWIBANK LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
58,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=f56b5ca5-8394-ee11-be37-00224892b34a,LIVESTOCK IMPROVEMENT CORPORATION LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
59,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=f76b5ca5-8394-ee11-be37-00224892b34a,MAINFREIGHT LIMITED,"Reporting Period
. sort descending
Actions
31-03-2024 - Due by 31-07-2024",31-03-2024 - Due by 31-07-2024,,Have records but not submitted,Company,31/03/2024,31/07/2024
60,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=f96b5ca5-8394-ee11-be37-00224892b34a,MANAWA ENERGY LIMITED,"Reporting Period
. sort descending
Actions
31-03-2024 - Due by 31-07-2024",31-03-2024 - Due by 31-07-2024,,Have records but not submitted,Company,31/03/2024,31/07/2024
61,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=fb6b5ca5-8394-ee11-be37-00224892b34a,MARLIN GLOBAL LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
62,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=fd6b5ca5-8394-ee11-be37-00224892b34a,MARSDEN MARITIME HOLDINGS LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
63,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=ff6b5ca5-8394-ee11-be37-00224892b34a,MERCURY NZ LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
64,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=016c5ca5-8394-ee11-be37-00224892b34a,MERIDIAN ENERGY LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
65,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=036c5ca5-8394-ee11-be37-00224892b34a,METLIFECARE LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
66,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=056c5ca5-8394-ee11-be37-00224892b34a,MICHAEL HILL INTERNATIONAL LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
67,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=076c5ca5-8394-ee11-be37-00224892b34a,MILLENNIUM & COPTHORNE HOTELS NEW ZEALAND LIMITED,"Reporting Period
. sort descending
Actions
31-12-2023 - Click to view Climate Statement/s",31-12-2023 - Click to view Climate Statement/s,,Have records and have submitted,Company,0,0
68,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=096c5ca5-8394-ee11-be37-00224892b34a,MOVE LOGISTICS GROUP LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
69,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=7f6b5ca5-8394-ee11-be37-00224892b34a,"MUFG BANK, LTD.","Reporting Period
. sort descending
Actions
31-03-2024 - Due by 31-07-2024",31-03-2024 - Due by 31-07-2024,,Have records but not submitted,Company,31/03/2024,31/07/2024
70,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=9b6c5ca5-8394-ee11-be37-00224892b34a,NELSON BUILDING SOCIETY,"Reporting Period
. sort descending
Actions
31-03-2024 - Due by 31-07-2024",31-03-2024 - Due by 31-07-2024,,Have records but not submitted,Company,31/03/2024,31/07/2024
71,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=0b6c5ca5-8394-ee11-be37-00224892b34a,NEW ZEALAND KING SALMON INVESTMENTS LIMITED,"Reporting Period
. sort descending
Actions
31-01-2024 - Due by 31-05-2024",31-01-2024 - Due by 31-05-2024,,Have records but not submitted,Company,31/01/2024,31/05/2024
72,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=0d6c5ca5-8394-ee11-be37-00224892b34a,NEW ZEALAND LOCAL GOVERNMENT FUNDING AGENCY LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
73,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=0f6c5ca5-8394-ee11-be37-00224892b34a,NEW ZEALAND OIL & GAS LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
74,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=116c5ca5-8394-ee11-be37-00224892b34a,NEW ZEALAND RURAL LAND COMPANY LIMITED,"Reporting Period
. sort descending
Actions
31-12-2023 - Due by 30-04-2024",31-12-2023 - Due by 30-04-2024,,Have records but not submitted,Company,31/12/2023,30/04/2024
75,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=996b5ca5-8394-ee11-be37-00224892b34a,NIB NZ LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
76,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=136c5ca5-8394-ee11-be37-00224892b34a,NZME LIMITED,"Reporting Period
. sort descending
Actions
31-12-2023 - Click to view Climate Statement/s",31-12-2023 - Click to view Climate Statement/s,,Have records and have submitted,Company,0,0
77,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=156c5ca5-8394-ee11-be37-00224892b34a,NZX LIMITED,"Reporting Period
. sort descending
Actions
31-12-2023 - Click to view Climate Statement/s",31-12-2023 - Click to view Climate Statement/s,,Have records and have submitted,Company,0,0
78,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=176c5ca5-8394-ee11-be37-00224892b34a,OCEANIA HEALTHCARE LIMITED,"Reporting Period
. sort descending
Actions
31-03-2024 - Due by 31-07-2024",31-03-2024 - Due by 31-07-2024,,Have records but not submitted,Company,31/03/2024,31/07/2024
79,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=196c5ca5-8394-ee11-be37-00224892b34a,PACIFIC EDGE LIMITED,"Reporting Period
. sort descending
Actions
31-03-2024 - Due by 31-07-2024",31-03-2024 - Due by 31-07-2024,,Have records but not submitted,Company,31/03/2024,31/07/2024
80,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=9b6b5ca5-8394-ee11-be37-00224892b34a,PARTNERS LIFE LIMITED,"Reporting Period
. sort descending
Actions
31-03-2024 - Due by 31-07-2024",31-03-2024 - Due by 31-07-2024,,Have records but not submitted,Company,31/03/2024,31/07/2024
81,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=1b6c5ca5-8394-ee11-be37-00224892b34a,PGG WRIGHTSON LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
82,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=1d6c5ca5-8394-ee11-be37-00224892b34a,PORT OF TAURANGA LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
83,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=1f6c5ca5-8394-ee11-be37-00224892b34a,PRECINCT PROPERTIES NEW ZEALAND LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
84,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=216c5ca5-8394-ee11-be37-00224892b34a,PROPERTY FOR INDUSTRY LIMITED,"Reporting Period
. sort descending
Actions
31-12-2023 - Click to view Climate Statement/s",31-12-2023 - Click to view Climate Statement/s,,Have records and have submitted,Company,0,0
85,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=9d6b5ca5-8394-ee11-be37-00224892b34a,QBE INSURANCE (AUSTRALIA) LIMITED,"Reporting Period
. sort descending
Actions
31-12-2023 - Due by 30-04-2024",31-12-2023 - Due by 30-04-2024,,Have records but not submitted,Company,31/12/2023,30/04/2024
86,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=236c5ca5-8394-ee11-be37-00224892b34a,QUAYSIDE HOLDINGS LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
87,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=816b5ca5-8394-ee11-be37-00224892b34a,RABOBANK NEW ZEALAND LIMITED,"Reporting Period
. sort descending
Actions
31-12-2023 - Due by 30-04-2024",31-12-2023 - Due by 30-04-2024,,Have records but not submitted,Company,31/12/2023,30/04/2024
88,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=256c5ca5-8394-ee11-be37-00224892b34a,RADIUS RESIDENTIAL CARE LIMITED,"Reporting Period
. sort descending
Actions
31-03-2024 - Due by 31-07-2024",31-03-2024 - Due by 31-07-2024,,Have records but not submitted,Company,31/03/2024,31/07/2024
89,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=276c5ca5-8394-ee11-be37-00224892b34a,RAKON LIMITED,"Reporting Period
. sort descending
Actions
31-03-2024 - Due by 31-07-2024",31-03-2024 - Due by 31-07-2024,,Have records but not submitted,Company,31/03/2024,31/07/2024
90,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=9f6b5ca5-8394-ee11-be37-00224892b34a,RESOLUTION LIFE AUSTRALASIA LIMITED,"Reporting Period
. sort descending
Actions
31-12-2023 - Due by 30-04-2024",31-12-2023 - Due by 30-04-2024,,Have records but not submitted,Company,31/12/2023,30/04/2024
91,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=296c5ca5-8394-ee11-be37-00224892b34a,RESTAURANT BRANDS NEW ZEALAND LIMITED,"Reporting Period
. sort descending
Actions
31-12-2023 - Due by 30-04-2024",31-12-2023 - Due by 30-04-2024,,Have records but not submitted,Company,31/12/2023,30/04/2024
92,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=2b6c5ca5-8394-ee11-be37-00224892b34a,RYMAN HEALTHCARE LIMITED,"Reporting Period
. sort descending
Actions
31-03-2024 - Due by 31-07-2024",31-03-2024 - Due by 31-07-2024,,Have records but not submitted,Company,31/03/2024,31/07/2024
93,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=2d6c5ca5-8394-ee11-be37-00224892b34a,SCALES CORPORATION LIMITED,"Reporting Period
. sort descending
Actions
31-12-2023 - Due by 30-04-2024",31-12-2023 - Due by 30-04-2024,,Have records but not submitted,Company,31/12/2023,30/04/2024
94,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=2f6c5ca5-8394-ee11-be37-00224892b34a,SEEKA LIMITED,"Reporting Period
. sort descending
Actions
31-12-2023 - Click to view Climate Statement/s",31-12-2023 - Click to view Climate Statement/s,,Have records and have submitted,Company,0,0
