,Unnamed: 0,Company Name,PeriodText,Type,Investment Scheme Name,status,period_year,Company_Scheme,PeriodDate,Analysed_2024,Status,Cohort,pdf_files,pdf_count,no_pdf,Industry,Types,FinalInclusion
51,52,BARRAMUNDI LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,BARRAMUNDI LIMITED,2025-06-30,,Submitted,FY24/25,Barramundi 2025 Climate Statement.pdf,1,0,Finance - Other,Normal companies,1.0
52,53,BRISCOE GROUP LIMITED,31-01-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,BRISCOE GROUP LIMITED,2025-01-31,,Submitted,FY24/25,Briscoe Group 2025 Annual Report.pdf,1,0,Other industries,Normal companies,1.0
54,54,BRISCOE GROUP LIMITED,31-01-2024 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2024,BRISCOE GROUP LIMITED,2024-01-31,1.0,Submitted,FY23/24,Briscoe Group 2024 Climate-Related Disclosures (amended with Director Signatures).pdf,2,0,Other industries,Normal companies,1.0
56,56,CDL INVESTMENTS NEW ZEALAND LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,CDL INVESTMENTS NEW ZEALAND LIMITED,2024-12-31,,Submitted,FY24/25,CDL Climate Statement 28-04-25 (003).pdf,1,0,Finance - Other,Normal companies,1.0
57,57,CDL INVESTMENTS NEW ZEALAND LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,CDL INVESTMENTS NEW ZEALAND LIMITED,2023-12-31,1.0,Submitted,FY23/24,CDL0017_Climate_Related_Disclosures_2023.pdf,1,0,Finance - Other,Normal companies,1.0
58,59,CHANNEL INFRASTRUCTURE NZ LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,CHANNEL INFRASTRUCTURE NZ LIMITED,2023-12-31,1.0,Submitted,FY23/24,Resilient infrastructure for a decarbonising world (7) - FINAL 28.02.24 9.30pm.pdf,1,0,Infrastructure,Normal companies,1.0
59,60,CHANNEL INFRASTRUCTURE NZ LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,CHANNEL INFRASTRUCTURE NZ LIMITED,2024-12-31,,Submitted,FY24/25,2024 Sustainability Report reduced file new audit report (1).pdf,1,0,Infrastructure,Normal companies,1.0
61,62,CHINA CONSTRUCTION BANK (NEW ZEALAND) LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,CHINA CONSTRUCTION BANK (NEW ZEALAND) LIMITED,2023-12-31,1.0,Submitted,FY23/24,CCBNZL Climate Report for the year ended 31 December 2023.pdf,1,0,Finance - Banks,Normal companies,1.0
62,63,CHINA CONSTRUCTION BANK (NEW ZEALAND) LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,CHINA CONSTRUCTION BANK (NEW ZEALAND) LIMITED,2024-12-31,,Submitted,FY24/25,climate report 2024 sub.pdf,1,0,Finance - Banks,Normal companies,1.0
71,68,CHORUS LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,CHORUS LIMITED,2024-06-30,,Submitted,FY23/24,Chorus Climate Statements FY24 (dated and signed as at 26 Aug).pdf,1,0,Telecom,Normal companies,1.0
72,69,CHORUS LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,CHORUS LIMITED,2025-06-30,,Submitted,FY24/25,Chorus FY25 Climate Statements.pdf,1,0,Telecom,Normal companies,1.0
75,71,CHRISTCHURCH CITY HOLDINGS LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,CHRISTCHURCH CITY HOLDINGS LIMITED,2024-06-30,,Submitted,FY23/24,CCHL-Climate-Statement-2024.pdf,1,0,Other industries,Normal companies,1.0
76,72,CHRISTCHURCH INTERNATIONAL AIRPORT LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,CHRISTCHURCH INTERNATIONAL AIRPORT LIMITED,2024-06-30,,Submitted,FY23/24,CIAL - ClimateRelatedDisclosure FY24.pdf,2,0,Airport,Normal companies,1.0
79,73,CHRISTCHURCH INTERNATIONAL AIRPORT LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,CHRISTCHURCH INTERNATIONAL AIRPORT LIMITED,2025-06-30,,Submitted,FY24/25,CIALTS25007 Climate Related Disclosure FINAL.pdf,3,0,Airport,Normal companies,1.0
81,74,CHUBB LIFE INSURANCE NEW ZEALAND LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,CHUBB LIFE INSURANCE NEW ZEALAND LIMITED,2023-12-31,1.0,Submitted,FY23/24,Chubb Life Insurance New Zealand Limited Climate Disclosure 2023.pdf,1,0,Finance - Insurance,Normal companies,1.0
82,75,CHUBB LIFE INSURANCE NEW ZEALAND LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,CHUBB LIFE INSURANCE NEW ZEALAND LIMITED,2024-12-31,,Submitted,FY24/25,2024 Chubb Life Climate Related Disclosures.pdf,1,0,Finance - Insurance,Normal companies,1.0
86,78,"CITIBANK, N.A.",31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,"CITIBANK, N.A.",2023-12-31,1.0,Submitted,FY23/24,2023 Climate Statements for Citibank N.A. (New Zealand Branch).pdf,2,0,Finance - Banks,Normal companies,1.0
90,80,COMMONWEALTH BANK OF AUSTRALIA,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,COMMONWEALTH BANK OF AUSTRALIA,2024-06-30,,Submitted,FY23/24,CBA NZ Climate Statement 2024.pdf,2,0,Finance - Banks,Normal companies,1.0
92,82,COMVITA LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,COMVITA LIMITED,2024-06-30,,Submitted,FY23/24,Comvita Limited Climate Statement FY24.pdf,1,0,Agriculture,Normal companies,1.0
93,83,COMVITA LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,COMVITA LIMITED,2025-06-30,,Submitted,FY24/25,2025 Climate Statement.pdf,2,0,Agriculture,Normal companies,1.0
95,84,CONTACT ENERGY LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,CONTACT ENERGY LIMITED,2024-06-30,,Submitted,FY23/24,CON045 Climate Disclosure 24V.pdf,1,0,Energy,Normal companies,1.0
96,85,CONTACT ENERGY LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,CONTACT ENERGY LIMITED,2025-06-30,,Submitted,FY24/25,180825  Climate Statement.pdf,1,0,Energy,Normal companies,1.0
97,86,COOPERATIEVE RABOBANK U.A.,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,COOPERATIEVE RABOBANK U.A.,2024-12-31,,Submitted,FY24/25,ClimateStatements_2024_NZBG_Final.pdf,2,0,Finance - Banks,Normal companies,1.0
99,87,COOPERATIEVE RABOBANK U.A.,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,COOPERATIEVE RABOBANK U.A.,2023-12-31,,Submitted,FY23/24,Rabobank New Zealand Banking Group 2023 Climate Statements.pdf,1,0,Finance - Banks,Normal companies,1.0
101,89,DELEGAT GROUP LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,DELEGAT GROUP LIMITED,2024-06-30,,Submitted,FY23/24,DGL Climate-Related Disclosure 2024.pdf,1,0,Agriculture,Normal companies,1.0
102,90,DELEGAT GROUP LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,DELEGAT GROUP LIMITED,2025-06-30,,Submitted,FY24/25,DGL - 2025 Climate-Related Disclosure Report.pdf,1,0,Agriculture,Normal companies,1.0
103,91,DOWNER EDI LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,DOWNER EDI LIMITED,2024-06-30,,Submitted,FY23/24,Downer EDI - 2024 Sustainability Report incl Climate Statement.pdf,1,0,Infrastructure,Normal companies,1.0
105,92,DOWNER EDI LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,DOWNER EDI LIMITED,2025-06-30,,Submitted,FY24/25,2025 Annual Report (including Climate Statement).pdf,4,0,Infrastructure,Normal companies,1.0
108,93,EBOS GROUP LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,EBOS GROUP LIMITED,2025-06-30,,Submitted,FY24/25,EBOS Group Limited FY2025 Climate Statement.pdf,1,0,Healthcare,Normal companies,1.0
109,94,EBOS GROUP LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,EBOS GROUP LIMITED,2024-06-30,,Submitted,FY23/24,Climate Statement_2024_V15.pdf,1,0,Healthcare,Normal companies,1.0
110,95,EROAD LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,EROAD LIMITED,2024-03-31,,Submitted,FY23/24,EROAD-Climate-disclosures-FY24-30July2024.pdf,1,0,Other industries,Normal companies,1.0
111,96,EROAD LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,EROAD LIMITED,2025-03-31,,Submitted,FY24/25,EROAD-FY25-Sustainability-Report and Climate Disclosures.pdf,1,0,Other industries,Normal companies,1.0
115,101,FIDELITY LIFE ASSURANCE COMPANY LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,FIDELITY LIFE ASSURANCE COMPANY LIMITED,2024-06-30,,Submitted,FY23/24,Fidelity Life Assurance Company Limited - FY24 Climate Statement.pdf,1,0,Finance - Insurance,Normal companies,1.0
116,102,FIDELITY LIFE ASSURANCE COMPANY LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,FIDELITY LIFE ASSURANCE COMPANY LIMITED,2025-06-30,,Submitted,FY24/25,Fidelity Life Annual report FY25 including Climate Statement.pdf,1,0,Finance - Insurance,Normal companies,1.0
117,103,FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,2024-03-31,,Submitted,FY23/24,FPH Annual Report 2024_Including Climate Statements.pdf,1,0,Healthcare,Normal companies,1.0
118,105,FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,2025-03-31,,Submitted,FY24/25,FPH Annual Report 2025_Including Climate Statements.pdf,1,0,Healthcare,Normal companies,1.0
122,108,FLETCHER BUILDING LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,FLETCHER BUILDING LIMITED,2024-06-30,,Submitted,FY23/24,Fletcher Building Climate Statements 2024.pdf,1,0,Constructions,Normal companies,1.0
123,109,FLETCHER BUILDING LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,FLETCHER BUILDING LIMITED,2025-06-30,,Submitted,FY24/25,Fletcher Building Climate Statements 2025.pdf,1,0,Constructions,Normal companies,1.0
124,110,FMG INSURANCE LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,FMG INSURANCE LIMITED,2024-03-31,,Submitted,FY23/24,FMGIL Climate-related disclosures FY24.pdf,1,0,Finance - Insurance,Normal companies,1.0
125,112,FMG INSURANCE LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,FMG INSURANCE LIMITED,2025-03-31,,Submitted,FY24/25,Climate-related-disclosures-2025.pdf,2,0,Finance - Insurance,Normal companies,1.0
127,114,FOLEY WINES LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,FOLEY WINES LIMITED,2024-06-30,,Submitted,FY23/24,Foley Wines Limited Climate Related Disclosures YE 30 June 2024.pdf,1,0,Agriculture,Normal companies,1.0
128,115,FONTERRA CO-OPERATIVE GROUP LIMITED,31-07-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,FONTERRA CO-OPERATIVE GROUP LIMITED,2024-07-31,,Submitted,FY24/25,01. FONTERRA133 2024 Annual Report_NZX.pdf,1,0,Agriculture,Normal companies,1.0
130,117,FREIGHTWAYS GROUP LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,FREIGHTWAYS GROUP LIMITED,2025-06-30,,Submitted,FY24/25,Freightways FY25 Climate Statement.pdf,1,0,Other industries,Normal companies,1.0
131,118,FREIGHTWAYS GROUP LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,FREIGHTWAYS GROUP LIMITED,2024-06-30,,Submitted,FY23/24,Freightways Climate Statement - FY24.pdf,1,0,Other industries,Normal companies,1.0
132,119,GENESIS ENERGY LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,GENESIS ENERGY LIMITED,2024-06-30,,Submitted,FY23/24,Genesis FY24 Climate Statement.pdf,1,0,Energy,Normal companies,1.0
133,120,GENESIS ENERGY LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,GENESIS ENERGY LIMITED,2025-06-30,,Submitted,FY24/25,Genesis FY25 Climate Statement.pdf,1,0,Energy,Normal companies,1.0
134,121,GENTRACK GROUP LIMITED,30-09-2024 - Not required to lodge,Normal companies,,,2024,GENTRACK GROUP LIMITED,2024-09-30,,Not required to lodge,FY24/25,Gentrack Annual Report including Climate Statement 2024.pdf,1,0,Other industries,Normal companies,1.0
140,127,GREEN CROSS HEALTH LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,GREEN CROSS HEALTH LIMITED,2024-03-31,,Submitted,FY23/24,Green Cross Health Limited Climate Related Disclosure for the year ended 31 March 2024.pdf,1,0,Healthcare,Normal companies,1.0
141,129,GREEN CROSS HEALTH LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,GREEN CROSS HEALTH LIMITED,2025-03-31,,Submitted,FY24/25,Green Cross Health Limited Climate Related Disclosure for the year ended 31 March 2025.pdf,1,0,Healthcare,Normal companies,1.0
142,131,HALLENSTEIN GLASSON HOLDINGS LIMITED,31-07-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,HALLENSTEIN GLASSON HOLDINGS LIMITED,2024-07-31,,Submitted,FY24/25,Hallenstein Glasson Holdings Limited Climate Related Disclosures 2024.pdf,1,0,Other industries,Normal companies,1.0
143,132,HEARTLAND BANK LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,HEARTLAND BANK LIMITED,2024-06-30,,Submitted,FY23/24,Heartland Climate Report FY2024 .pdf,1,0,Finance - Banks,Normal companies,1.0
144,133,HEARTLAND BANK LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,HEARTLAND BANK LIMITED,2025-06-30,,Submitted,FY24/25,Heartland Climate Report FY2025.pdf,1,0,Finance - Banks,Normal companies,1.0
147,136,HENDERSON FAR EAST INCOME LIMITED,31-08-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,HENDERSON FAR EAST INCOME LIMITED,2024-08-31,,Submitted,FY24/25,NZX climate related ye24.pdf,1,0,Finance - Other,Normal companies,1.0
150,139,IAG NEW ZEALAND LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,IAG NEW ZEALAND LIMITED,2024-06-30,,Submitted,FY23/24,FY24 IAG New Zealand Climate-related Disclosure.pdf,1,0,Finance - Insurance,Normal companies,1.0
152,140,IAG NEW ZEALAND LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,IAG NEW ZEALAND LIMITED,2025-06-30,,Submitted,FY24/25,IAG NZ FY25 Climate Disclosure.pdf,2,0,Finance - Insurance,Normal companies,1.0
153,141,IKEGPS GROUP LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,IKEGPS GROUP LIMITED,2024-03-31,,Submitted,FY23/24,ikeGPS Group ESG Final_Signed.pdf,1,0,Other industries,Normal companies,1.0
154,144,INDUSTRIAL AND COMMERCIAL BANK OF CHINA (NEW ZEALAND) LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,INDUSTRIAL AND COMMERCIAL BANK OF CHINA (NEW ZEALAND) LIMITED,2024-12-31,,Submitted,FY24/25,ICBC NZ Ltd Climate-Related Disclosure Statement 31 Dec 24.pdf,1,0,Finance - Banks,Normal companies,1.0
155,145,INDUSTRIAL AND COMMERCIAL BANK OF CHINA (NEW ZEALAND) LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,INDUSTRIAL AND COMMERCIAL BANK OF CHINA (NEW ZEALAND) LIMITED,2023-12-31,1.0,Submitted,FY23/24,ICBC NZ Ltd CRD 31 Dec 2023.pdf,1,0,Finance - Banks,Normal companies,1.0
160,150,INFRATIL LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,INFRATIL LIMITED,2024-03-31,,Submitted,FY23/24,Infratil FY2024 Climate Related Disclosures.pdf,1,0,Infrastructure,Normal companies,1.0
161,152,INFRATIL LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,INFRATIL LIMITED,2025-03-31,,Submitted,FY24/25,Infratil FY2025 CRD Combined.pdf,1,0,Infrastructure,Normal companies,1.0
162,153,INSURANCE AUSTRALIA GROUP LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,INSURANCE AUSTRALIA GROUP LIMITED,2024-06-30,,Submitted,FY23/24,20240821 Notice NZ FSPR registrar.pdf,1,0,Finance - Insurance,Normal companies,1.0
163,154,INSURANCE AUSTRALIA GROUP LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,INSURANCE AUSTRALIA GROUP LIMITED,2025-06-30,,Submitted,FY24/25,IAG CRD notice to FSR.pdf,1,0,Finance - Insurance,Normal companies,1.0
164,155,INVESTORE PROPERTY LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,INVESTORE PROPERTY LIMITED,2024-03-31,,Submitted,FY23/24,Investore Property Limited - FY24 Sustainability Report and Climate-Related Disclosures.pdf,1,0,Finance - Other,Normal companies,1.0
165,157,INVESTORE PROPERTY LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,INVESTORE PROPERTY LIMITED,2025-03-31,,Submitted,FY24/25,Investore Property Limited - FY25 Sustainability Report and Climate-Related Disclosures.pdf,1,0,Finance - Other,Normal companies,1.0
166,161,KINGFISH LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,KINGFISH LIMITED,2024-03-31,,Submitted,FY23/24,Kingfish Climate Statement - 31 March 2024.pdf,1,0,Finance - Other,Normal companies,1.0
