,scenario,scenario_renamed
675,1.5¬∞C,1.5∞C
684,1.5¬∞C,1.5∞C
687,1.5¬∞C,1.5∞C
720,1.5¬∞C,1.5∞C
723,1.5¬∞C,1.5∞C
750,1.5¬∞C,1.5∞C
753,1.5¬∞C,1.5∞C
756,1.5¬∞C,1.5∞C
759,1.5¬∞C,1.5∞C
788,1.5¬∞C,1.5∞C
791,1.5¬∞C,1.5∞C
794,1.5¬∞C,1.5∞C
797,1.5¬∞C,1.5∞C
803,1.5¬∞C,1.5∞C
838,1.5¬∞C,1.5∞C
851,1.5¬∞C,1.5∞C
854,1.5¬∞C,1.5∞C
857,1.5¬∞C,1.5∞C
860,1.5¬∞C,1.5∞C
863,1.5¬∞C,1.5∞C
894,1.5¬∞C,1.5∞C
898,1.5¬∞C,1.5∞C
902,1.5¬∞C,1.5∞C
906,1.5¬∞C,1.5∞C
930,1.5¬∞C,1.5∞C
933,1.5¬∞C,1.5∞C
127,2.0¬∞C Scenario,2∞C
459,2.0¬∞C scenario,2∞C
50,2¬∞C,2∞C
54,2¬∞C,2∞C
63,2¬∞C,2∞C
66,2¬∞C,2∞C
109,2¬∞C,2∞C
139,2¬∞C,2∞C
142,2¬∞C,2∞C
151,2¬∞C,2∞C
154,2¬∞C,2∞C
161,2¬∞C,2∞C
164,2¬∞C,2∞C
209,2¬∞C,2∞C
212,2¬∞C,2∞C
224,2¬∞C,2∞C
228,2¬∞C,2∞C
234,2¬∞C,2∞C
252,2¬∞C,2∞C
255,2¬∞C,2∞C
320,2¬∞C,2∞C
323,2¬∞C,2∞C
340,2¬∞C,2∞C
343,2¬∞C,2∞C
346,2¬∞C,2∞C
355,2¬∞C,2∞C
393,2¬∞C,2∞C
408,2¬∞C,2∞C
412,2¬∞C,2∞C
418,2¬∞C,2∞C
465,2¬∞C,2∞C
479,2¬∞C,2∞C
525,2¬∞C,2∞C
561,2¬∞C,2∞C
564,2¬∞C,2∞C
582,2¬∞C,2∞C
603,2¬∞C,2∞C
606,2¬∞C,2∞C
609,2¬∞C,2∞C
625,2¬∞C,2∞C
628,2¬∞C,2∞C
644,2¬∞C,2∞C
651,2¬∞C,2∞C
676,2¬∞C,2∞C
721,2¬∞C,2∞C
724,2¬∞C,2∞C
751,2¬∞C,2∞C
754,2¬∞C,2∞C
762,2¬∞C,2∞C
771,2¬∞C,2∞C
795,2¬∞C,2∞C
798,2¬∞C,2∞C
804,2¬∞C,2∞C
839,2¬∞C,2∞C
852,2¬∞C,2∞C
861,2¬∞C,2∞C
899,2¬∞C,2∞C
900,2¬∞C,2∞C
903,2¬∞C,2∞C
907,2¬∞C,2∞C
125,3.0¬∞C scenario,3∞C
128,3.0¬∞C Scenario,3∞C
460,3.0¬∞C scenario,3∞C
30,3¬∞C,3∞C
51,3¬∞C,3∞C
55,3¬∞C,3∞C
57,3¬∞C,3∞C
58,3¬∞C,3∞C
60,3¬∞C,3∞C
61,3¬∞C,3∞C
67,3¬∞C,3∞C
110,3¬∞C,3∞C
140,3¬∞C,3∞C
143,3¬∞C,3∞C
152,3¬∞C,3∞C
155,3¬∞C,3∞C
162,3¬∞C,3∞C
165,3¬∞C,3∞C
167,3¬∞C,3∞C
168,3¬∞C,3∞C
171,3¬∞C,3∞C
210,3¬∞C,3∞C
213,3¬∞C,3∞C
225,3¬∞C,3∞C
229,3¬∞C,3∞C
235,3¬∞C,3∞C
253,3¬∞C,3∞C
256,3¬∞C,3∞C
321,3¬∞C,3∞C
324,3¬∞C,3∞C
344,3¬∞C,3∞C
347,3¬∞C,3∞C
356,3¬∞C,3∞C
362,3¬∞C,3∞C
384,3¬∞C,3∞C
394,3¬∞C,3∞C
403,3¬∞C,3∞C
410,3¬∞C,3∞C
413,3¬∞C,3∞C
419,3¬∞C,3∞C
429,3¬∞C,3∞C
466,3¬∞C,3∞C
513,3¬∞C,3∞C
526,3¬∞C,3∞C
562,3¬∞C,3∞C
565,3¬∞C,3∞C
571,3¬∞C,3∞C
583,3¬∞C,3∞C
604,3¬∞C,3∞C
607,3¬∞C,3∞C
626,3¬∞C,3∞C
629,3¬∞C,3∞C
645,3¬∞C,3∞C
652,3¬∞C,3∞C
658,3¬∞C,3∞C
722,3¬∞C,3∞C
725,3¬∞C,3∞C
734,3¬∞C,3∞C
755,3¬∞C,3∞C
758,3¬∞C,3∞C
796,3¬∞C,3∞C
799,3¬∞C,3∞C
805,3¬∞C,3∞C
840,3¬∞C,3∞C
853,3¬∞C,3∞C
862,3¬∞C,3∞C
865,3¬∞C,3∞C
868,3¬∞C,3∞C
884,3¬∞C,3∞C
901,3¬∞C,3∞C
908,3¬∞C,3∞C
24,4¬∞C,4∞C
46,4¬∞C,4∞C
96,4¬∞C,4∞C
226,4¬∞C,4∞C
291,4¬∞C,4∞C
366,4¬∞C,4∞C
368,4¬∞C,4∞C
385,4¬∞C,4∞C
387,4¬∞C,4∞C
590,4¬∞C,4∞C
593,4¬∞C,4∞C
612,4¬∞C,4∞C
618,4¬∞C,4∞C
621,4¬∞C,4∞C
659,4¬∞C,4∞C
732,4¬∞C,4∞C
735,4¬∞C,4∞C
737,4¬∞C,4∞C
869,4¬∞C,4∞C
871,4¬∞C,4∞C
877,4¬∞C,4∞C
885,4¬∞C,4∞C
915,4¬∞C,4∞C
447,Adaptive Evolution,Adaptive Evolution
450,Adaptive Evolution,Adaptive Evolution
552,Ambitious,Ambitious
306,Australia's Long-Term Emissions Reduction Plan: The Plan scenario,Australia's Long-Term Emissions Reduction Plan: The Plan scenario
630,Baseline (1.1¬∞C),Baseline (1.1∞C)
633,Baseline (1.1¬∞C),Baseline (1.1∞C)
123,Baseline: 1.1¬∞C of global warming,Baseline (1.1∞C)
325,Baseline (Transition),Baseline (Transition)
332,Baseline (Transition),Baseline (Transition)
517,Baseline scenario,Baseline scenario
939,BEC Kea,BEC Kea
940,BusinessNZ Energy Council T≈´ƒ´,BEC Tui
400,Business as Usual,Business as Usual
477,Bypass to Breakdown,Bypass to Breakdown
198,Transport Sector: Bypass to Breakdown,Bypass to Breakdown
439,CCC Further Technology Change,CCC Further Technology Change
80,CCC Headwinds,CCC Headwinds
121,CCC Headwinds,CCC Headwinds
191,CCC Headwinds,CCC Headwinds
304,CCC Headwinds,CCC Headwinds
440,CCC Headwinds,CCC Headwinds
549,CCC Headwinds,CCC Headwinds
79,CCC Tailwinds,CCC Tailwinds
100,CCC Tailwinds scenario [used as reference scenario for Power generation and Residential real estate targets],CCC Tailwinds
190,CCC Tailwinds,CCC Tailwinds
438,CCC Tailwinds,CCC Tailwinds
548,CCC Tailwinds,CCC Tailwinds
817,CCC Tailwinds,CCC Tailwinds
303,CCC 'Tailwinds',CCC Tailwinds
120,Tailwinds (CCC),CCC Tailwinds
236,Coordinated Decarbonisation,Coordinated Decarbonisation
239,Coordinated Decarbonisation,Coordinated Decarbonisation
202,Co-ordinated Decarbonisation,Co-ordinated Decarbonisation
205,Co-ordinated Decarbonisation,Co-ordinated Decarbonisation
278,Coordinated transformation,Coordinated transformation
832,Current Commitments,Current Commitments
2,Current Policies,Current Policies
14,Current Policies,Current Policies
17,Current Policies,Current Policies
72,Current Policies,Current Policies
104,Current Policies,Current Policies
113,Current Policies,Current Policies
116,Current Policies,Current Policies
158,Current Policies,Current Policies
183,Current Policies,Current Policies
216,Current Policies,Current Policies
219,Current Policies,Current Policies
259,Current Policies,Current Policies
268,Current Policies,Current Policies
271,Current Policies,Current Policies
293,Current Policies,Current Policies
312,Current Policies,Current Policies
315,Current Policies,Current Policies
352,Current Policies,Current Policies
374,Current Policies,Current Policies
422,Current Policies,Current Policies
445,Current Policies,Current Policies
454,Current Policies,Current Policies
457,Current Policies,Current Policies
480,Current Policies,Current Policies
490,Current Policies,Current Policies
510,Current Policies,Current Policies
541,Current Policies,Current Policies
613,Current Policies,Current Policies
662,Current Policies,Current Policies
665,Current Policies,Current Policies
671,Current Policies,Current Policies
674,Current Policies,Current Policies
677,Current Policies,Current Policies
692,Current Policies,Current Policies
701,Current Policies,Current Policies
704,Current Policies,Current Policies
707,Current Policies,Current Policies
749,Current Policies,Current Policies
765,Current Policies,Current Policies
774,Current Policies,Current Policies
827,Current Policies,Current Policies
837,Current Policies,Current Policies
850,Current Policies,Current Policies
887,Current Policies,Current Policies
911,Current Policies,Current Policies
914,Current Policies,Current Policies
917,Current Policies,Current Policies
920,Current Policies,Current Policies
938,Current Policies,Current Policies
81,Current Policies / NDC,Current Policies
122,Current Policies / NDC,Current Policies
192,Current Policies / NDC,Current Policies
305,Current Policies / NDC,Current Policies
351,Current Policies / NDC,Current Policies
441,Current Policies / NDC,Current Policies
540,Current Policies / NDC,Current Policies
550,Current Policies / NDC,Current Policies
818,Current Policies / NDC,Current Policies
897,Current trajectory (>3.0¬∞C future),Current Policies
326,Decisive & Decisive,Decisive & Decisive
333,Decisive & Decisive,Decisive & Decisive
280,Delayed Transition,Delayed Transition
327,Delayed Transition,Delayed Transition
334,Delayed Transition,Delayed Transition
443,Delayed Transition,Delayed Transition
488,Delayed Transition,Delayed Transition
509,Delayed Transition,Delayed Transition
611,Delayed Transition,Delayed Transition
833,Delayed Transition,Delayed Transition
896,Delayed Transition,Delayed Transition
919,Delayed Transition,Delayed Transition
937,Delayed Transition,Delayed Transition
642,Disorderly Transition,Disorderly Transition
834,Downside Physical Risk,Downside Physical Risk
199,Energy Sector: Coordinated Effort,Coordinated Effort
276,Energy transformation,Energy transformation
29,Fragmented World,Fragmented World
215,Fragmented World,Fragmented World
237,Fragmented World,Fragmented World
240,Fragmented World,Fragmented World
849,Fragmented World,Fragmented World
475,Fully Charged,Fully Charged
196,Transport Sector: Fully Charged,Fully Charged
275,Green Taper,Green Taper
279,Green Taper,Green Taper
653,High scenario,High scenario
655,High scenario,High scenario
11,Hothouse World,Hothouse World
20,Hothouse World,Hothouse World
42,Hothouse World,Hothouse World
43,Hothouse World,Hothouse World
90,Hothouse World,Hothouse World
93,Hothouse World,Hothouse World
131,Hothouse World,Hothouse World
145,Hothouse World,Hothouse World
148,Hothouse World,Hothouse World
174,Hothouse World,Hothouse World
177,Hothouse World,Hothouse World
195,Hothouse World,Hothouse World
201,Hothouse World,Hothouse World
204,Hothouse World,Hothouse World
207,Hothouse World,Hothouse World
238,Hothouse World,Hothouse World
241,Hothouse World,Hothouse World
244,Hothouse World,Hothouse World
262,Hothouse World,Hothouse World
265,Hothouse World,Hothouse World
277,Hothouse World,Hothouse World
281,Hothouse World,Hothouse World
284,Hothouse World,Hothouse World
287,Hothouse World,Hothouse World
290,Hothouse World,Hothouse World
296,Hothouse World,Hothouse World
299,Hothouse World,Hothouse World
341,Hothouse World,Hothouse World
359,Hothouse World,Hothouse World
365,Hothouse World,Hothouse World
397,Hothouse World,Hothouse World
406,Hothouse World,Hothouse World
448,Hothouse World,Hothouse World
451,Hothouse World,Hothouse World
463,Hothouse World,Hothouse World
499,Hothouse World,Hothouse World
502,Hothouse World,Hothouse World
532,Hothouse World,Hothouse World
538,Hothouse World,Hothouse World
551,Hothouse World,Hothouse World
580,Hothouse World,Hothouse World
586,Hothouse World,Hothouse World
589,Hothouse World,Hothouse World
592,Hothouse World,Hothouse World
598,Hothouse World,Hothouse World
601,Hothouse World,Hothouse World
620,Hothouse World,Hothouse World
623,Hothouse World,Hothouse World
632,Hothouse World,Hothouse World
635,Hothouse World,Hothouse World
686,Hothouse World,Hothouse World
710,Hothouse World,Hothouse World
713,Hothouse World,Hothouse World
716,Hothouse World,Hothouse World
719,Hothouse World,Hothouse World
728,Hothouse World,Hothouse World
730,Hothouse World,Hothouse World
752,Hothouse World,Hothouse World
761,Hothouse World,Hothouse World
766,Hothouse World,Hothouse World
775,Hothouse World,Hothouse World
802,Hothouse World,Hothouse World
808,Hothouse World,Hothouse World
811,Hothouse World,Hothouse World
824,Hothouse World,Hothouse World
843,Hothouse World,Hothouse World
846,Hothouse World,Hothouse World
890,Hothouse World,Hothouse World
893,Hothouse World,Hothouse World
923,Hothouse World,Hothouse World
926,Hothouse World,Hothouse World
929,Hothouse World,Hothouse World
932,Hothouse World,Hothouse World
935,Hothouse World,Hothouse World
69,IEA Announced Pledges,IEA APS
106,IEA Announced Pledges,IEA APS
353,IEA Announced Pledges,IEA APS
647,IEA Announced Pledges,IEA APS
543,IEA APS,IEA APS
101,IEA NZE 2050 [used as reference scenario for Oil and Gas target],IEA NZE
819,IEA: NZE,IEA NZE
185,IEA Sustainable Development Scenario (SDS),IEA SDS
820,IEA: SDS,IEA SDS
186,IEA Stated Policies Scenario (STEPS),IEA STEPS
544,IEA STEPS,IEA STEPS
350,IEA STEPS (Stated Policies Scenario),IEA STEPS
414,IEA STEPS (Stated Policies Scenario),IEA STEPS
107,IEA STEPS (Stated Policies Scenario) ‚Äî referenced in scenario dataset,IEA STEPS
821,IEA: STEPS,IEA STEPS
668,Mako 2050 (Intense and severe outcomes),Mako 2050
520,Mako 2050 ‚Äì Intense and severe outcomes,Mako 2050
516,Mako 2050 'Intense and Severe Outcomes',Mako 2050
426,3+ Degree Warming Scenario (Maroon Scenario),Maroon Scenario
430,Maroon Scenario (3+¬∞C),Maroon Scenario (3+∞C)
685,Middle of the Road (2.5¬∞C),Middle of the Road (2.5∞C)
654,Moderate scenario (carbon pricing/UCC),Moderate scenario (carbon pricing/UCC)
0,Net Zero,Net Zero
70,Net Zero,Net Zero
102,Net Zero,Net Zero
103,Net Zero,Net Zero
105,Net Zero,Net Zero
111,Net Zero,Net Zero
114,Net Zero,Net Zero
156,Net Zero,Net Zero
181,Net Zero,Net Zero
184,Net Zero,Net Zero
214,Net Zero,Net Zero
217,Net Zero,Net Zero
257,Net Zero,Net Zero
266,Net Zero,Net Zero
310,Net Zero,Net Zero
313,Net Zero,Net Zero
348,Net Zero,Net Zero
349,Net Zero,Net Zero
372,Net Zero,Net Zero
415,Net Zero,Net Zero
416,Net Zero,Net Zero
420,Net Zero,Net Zero
442,Net Zero,Net Zero
446,Net Zero,Net Zero
449,Net Zero,Net Zero
452,Net Zero,Net Zero
455,Net Zero,Net Zero
486,Net Zero,Net Zero
508,Net Zero,Net Zero
539,Net Zero,Net Zero
542,Net Zero,Net Zero
646,Net Zero,Net Zero
660,Net Zero,Net Zero
663,Net Zero,Net Zero
667,Net Zero,Net Zero
669,Net Zero,Net Zero
672,Net Zero,Net Zero
690,Net Zero,Net Zero
699,Net Zero,Net Zero
702,Net Zero,Net Zero
705,Net Zero,Net Zero
708,Net Zero,Net Zero
711,Net Zero,Net Zero
747,Net Zero,Net Zero
764,Net Zero,Net Zero
770,Net Zero,Net Zero
773,Net Zero,Net Zero
831,Net Zero,Net Zero
835,Net Zero,Net Zero
847,Net Zero,Net Zero
866,Net Zero,Net Zero
876,Net Zero,Net Zero
909,Net Zero,Net Zero
912,Net Zero,Net Zero
918,Net Zero,Net Zero
936,Net Zero,Net Zero
487,NGFS ‚Äì Highway to Paris,NGFS Highway to Paris
444,NGFS Nationally Determined Contributions,NGFS Nationally Determined Contributions
489,NGFS ‚Äì Sudden wake-up call,NGFS Sudden wake-up call
872,NIWA RCP 1.9,NIWA RCP 1.9
388,NIWA RCP1.9,NIWA RCP1.9
1,Orderly Transition,Orderly Transition
9,Orderly Transition,Orderly Transition
10,Orderly Transition,Orderly Transition
12,Orderly Transition,Orderly Transition
13,Orderly Transition,Orderly Transition
15,Orderly Transition,Orderly Transition
16,Orderly Transition,Orderly Transition
18,Orderly Transition,Orderly Transition
19,Orderly Transition,Orderly Transition
40,Orderly Transition,Orderly Transition
41,Orderly Transition,Orderly Transition
44,Orderly Transition,Orderly Transition
45,Orderly Transition,Orderly Transition
71,Orderly Transition,Orderly Transition
88,Orderly Transition,Orderly Transition
89,Orderly Transition,Orderly Transition
91,Orderly Transition,Orderly Transition
92,Orderly Transition,Orderly Transition
112,Orderly Transition,Orderly Transition
115,Orderly Transition,Orderly Transition
130,Orderly Transition,Orderly Transition
144,Orderly Transition,Orderly Transition
146,Orderly Transition,Orderly Transition
147,Orderly Transition,Orderly Transition
149,Orderly Transition,Orderly Transition
157,Orderly Transition,Orderly Transition
170,Orderly Transition,Orderly Transition
172,Orderly Transition,Orderly Transition
173,Orderly Transition,Orderly Transition
175,Orderly Transition,Orderly Transition
176,Orderly Transition,Orderly Transition
182,Orderly Transition,Orderly Transition
193,Orderly Transition,Orderly Transition
194,Orderly Transition,Orderly Transition
203,Orderly Transition,Orderly Transition
206,Orderly Transition,Orderly Transition
218,Orderly Transition,Orderly Transition
242,Orderly Transition,Orderly Transition
258,Orderly Transition,Orderly Transition
260,Orderly Transition,Orderly Transition
261,Orderly Transition,Orderly Transition
263,Orderly Transition,Orderly Transition
264,Orderly Transition,Orderly Transition
267,Orderly Transition,Orderly Transition
283,Orderly Transition,Orderly Transition
286,Orderly Transition,Orderly Transition
289,Orderly Transition,Orderly Transition
292,Orderly Transition,Orderly Transition
294,Orderly Transition,Orderly Transition
297,Orderly Transition,Orderly Transition
311,Orderly Transition,Orderly Transition
314,Orderly Transition,Orderly Transition
357,Orderly Transition,Orderly Transition
358,Orderly Transition,Orderly Transition
363,Orderly Transition,Orderly Transition
383,Orderly Transition,Orderly Transition
398,Orderly Transition,Orderly Transition
399,Orderly Transition,Orderly Transition
402,Orderly Transition,Orderly Transition
405,Orderly Transition,Orderly Transition
421,Orderly Transition,Orderly Transition
423,Orderly Transition,Orderly Transition
424,Orderly Transition,Orderly Transition
425,Orderly Transition,Orderly Transition
453,Orderly Transition,Orderly Transition
456,Orderly Transition,Orderly Transition
462,Orderly Transition,Orderly Transition
474,Orderly Transition,Orderly Transition
497,Orderly Transition,Orderly Transition
500,Orderly Transition,Orderly Transition
514,Orderly Transition,Orderly Transition
515,Orderly Transition,Orderly Transition
518,Orderly Transition,Orderly Transition
519,Orderly Transition,Orderly Transition
530,Orderly Transition,Orderly Transition
536,Orderly Transition,Orderly Transition
570,Orderly Transition,Orderly Transition
584,Orderly Transition,Orderly Transition
585,Orderly Transition,Orderly Transition
587,Orderly Transition,Orderly Transition
588,Orderly Transition,Orderly Transition
591,Orderly Transition,Orderly Transition
596,Orderly Transition,Orderly Transition
597,Orderly Transition,Orderly Transition
600,Orderly Transition,Orderly Transition
619,Orderly Transition,Orderly Transition
622,Orderly Transition,Orderly Transition
661,Orderly Transition,Orderly Transition
664,Orderly Transition,Orderly Transition
666,Orderly Transition,Orderly Transition
670,Orderly Transition,Orderly Transition
673,Orderly Transition,Orderly Transition
703,Orderly Transition,Orderly Transition
706,Orderly Transition,Orderly Transition
709,Orderly Transition,Orderly Transition
712,Orderly Transition,Orderly Transition
714,Orderly Transition,Orderly Transition
717,Orderly Transition,Orderly Transition
726,Orderly Transition,Orderly Transition
727,Orderly Transition,Orderly Transition
729,Orderly Transition,Orderly Transition
731,Orderly Transition,Orderly Transition
733,Orderly Transition,Orderly Transition
748,Orderly Transition,Orderly Transition
757,Orderly Transition,Orderly Transition
760,Orderly Transition,Orderly Transition
763,Orderly Transition,Orderly Transition
772,Orderly Transition,Orderly Transition
800,Orderly Transition,Orderly Transition
806,Orderly Transition,Orderly Transition
807,Orderly Transition,Orderly Transition
809,Orderly Transition,Orderly Transition
810,Orderly Transition,Orderly Transition
822,Orderly Transition,Orderly Transition
823,Orderly Transition,Orderly Transition
825,Orderly Transition,Orderly Transition
826,Orderly Transition,Orderly Transition
836,Orderly Transition,Orderly Transition
841,Orderly Transition,Orderly Transition
842,Orderly Transition,Orderly Transition
844,Orderly Transition,Orderly Transition
845,Orderly Transition,Orderly Transition
848,Orderly Transition,Orderly Transition
867,Orderly Transition,Orderly Transition
878,Orderly Transition,Orderly Transition
879,Orderly Transition,Orderly Transition
880,Orderly Transition,Orderly Transition
883,Orderly Transition,Orderly Transition
888,Orderly Transition,Orderly Transition
889,Orderly Transition,Orderly Transition
891,Orderly Transition,Orderly Transition
892,Orderly Transition,Orderly Transition
910,Orderly Transition,Orderly Transition
913,Orderly Transition,Orderly Transition
916,Orderly Transition,Orderly Transition
921,Orderly Transition,Orderly Transition
922,Orderly Transition,Orderly Transition
924,Orderly Transition,Orderly Transition
925,Orderly Transition,Orderly Transition
927,Orderly Transition,Orderly Transition
931,Orderly Transition,Orderly Transition
934,Orderly Transition,Orderly Transition
428,Purple Scenario (2.5¬∞C),Purple Scenario (2.5∞C)
640,Rapid Transition,Rapid Transition
738,RCP 1.9,RCP 1.9
812,RCP 1.9,RCP 1.9
616,RCP 6,RCP 6
31,RCP2.6,RCP2.6
37,RCP2.6,RCP2.6
38,RCP2.6,RCP2.6
73,RCP2.6,RCP2.6
118,RCP2.6,RCP2.6
132,RCP2.6,RCP2.6
187,RCP2.6,RCP2.6
220,RCP2.6,RCP2.6
230,RCP2.6,RCP2.6
273,RCP2.6,RCP2.6
308,RCP2.6,RCP2.6
361,RCP2.6,RCP2.6
389,RCP2.6,RCP2.6
435,RCP2.6,RCP2.6
471,RCP2.6,RCP2.6
494,RCP2.6,RCP2.6
521,RCP2.6,RCP2.6
545,RCP2.6,RCP2.6
554,RCP2.6,RCP2.6
566,RCP2.6,RCP2.6
572,RCP2.6,RCP2.6
575,RCP2.6,RCP2.6
614,RCP2.6,RCP2.6
678,RCP2.6,RCP2.6
696,RCP2.6,RCP2.6
739,RCP2.6,RCP2.6
744,RCP2.6,RCP2.6
767,RCP2.6,RCP2.6
779,RCP2.6,RCP2.6
785,RCP2.6,RCP2.6
813,RCP2.6,RCP2.6
873,RCP2.6,RCP2.6
882,RCP2.6,RCP2.6
32,RCP4.5,RCP4.5
74,RCP4.5,RCP4.5
133,RCP4.5,RCP4.5
188,RCP4.5,RCP4.5
221,RCP4.5,RCP4.5
231,RCP4.5,RCP4.5
307,RCP4.5,RCP4.5
390,RCP4.5,RCP4.5
436,RCP4.5,RCP4.5
472,RCP4.5,RCP4.5
495,RCP4.5,RCP4.5
503,RCP4.5,RCP4.5
522,RCP4.5,RCP4.5
546,RCP4.5,RCP4.5
555,RCP4.5,RCP4.5
567,RCP4.5,RCP4.5
615,RCP4.5,RCP4.5
679,RCP4.5,RCP4.5
688,RCP4.5,RCP4.5
697,RCP4.5,RCP4.5
745,RCP4.5,RCP4.5
768,RCP4.5,RCP4.5
776,RCP4.5,RCP4.5
786,RCP4.5,RCP4.5
789,RCP4.5,RCP4.5
792,RCP4.5,RCP4.5
829,RCP4.5,RCP4.5
855,RCP4.5,RCP4.5
858,RCP4.5,RCP4.5
874,RCP4.5,RCP4.5
64,RCP6.0,RCP6.0
573,RCP6.0,RCP6.0
576,RCP6.0,RCP6.0
904,RCP6.0,RCP6.0
33,RCP8.5,RCP8.5
39,RCP8.5,RCP8.5
75,RCP8.5,RCP8.5
134,RCP8.5,RCP8.5
189,RCP8.5,RCP8.5
222,RCP8.5,RCP8.5
232,RCP8.5,RCP8.5
274,RCP8.5,RCP8.5
309,RCP8.5,RCP8.5
391,RCP8.5,RCP8.5
437,RCP8.5,RCP8.5
473,RCP8.5,RCP8.5
496,RCP8.5,RCP8.5
504,RCP8.5,RCP8.5
523,RCP8.5,RCP8.5
547,RCP8.5,RCP8.5
556,RCP8.5,RCP8.5
568,RCP8.5,RCP8.5
574,RCP8.5,RCP8.5
577,RCP8.5,RCP8.5
617,RCP8.5,RCP8.5
680,RCP8.5,RCP8.5
698,RCP8.5,RCP8.5
740,RCP8.5,RCP8.5
746,RCP8.5,RCP8.5
769,RCP8.5,RCP8.5
777,RCP8.5,RCP8.5
780,RCP8.5,RCP8.5
787,RCP8.5,RCP8.5
790,RCP8.5,RCP8.5
793,RCP8.5,RCP8.5
814,RCP8.5,RCP8.5
856,RCP8.5,RCP8.5
859,RCP8.5,RCP8.5
875,RCP8.5,RCP8.5
886,RCP8.5,RCP8.5
905,RCP8.5,RCP8.5
895,Required action (2.0¬∞C future),Required action (2.0∞C future)
395,Sharp Corrections,Sharp Corrections
476,Short Detour,Short Detour
197,Transport Sector: Short Detour,Short Detour
200,Slow Followers,Slow Followers
396,Slow Followers,Slow Followers
409,Slow Followers,Slow Followers
82,SPANZ Scenario,SPANZ Scenario
83,SPANZ Scenario,SPANZ Scenario
84,SPANZ Scenario,SPANZ Scenario
375,SPANZ Scenario,SPANZ Scenario
376,SPANZ Scenario,SPANZ Scenario
377,SPANZ Scenario,SPANZ Scenario
76,SSP1,SSP1
245,SSP1,SSP1
272,SSP1,SSP1
648,SSP1,SSP1
736,SSP1,SSP1
815,SSP1,SSP1
828,SSP1,SSP1
6,SSP1-1.9,SSP1-1.9
21,SSP1-1.9,SSP1-1.9
34,SSP1-1.9,SSP1-1.9
117,SSP1-1.9,SSP1-1.9
300,SSP1-1.9,SSP1-1.9
316,SSP1-1.9,SSP1-1.9
369,SSP1-1.9,SSP1-1.9
431,SSP1-1.9,SSP1-1.9
467,SSP1-1.9,SSP1-1.9
481,SSP1-1.9,SSP1-1.9
505,SSP1-1.9,SSP1-1.9
533,SSP1-1.9,SSP1-1.9
636,SSP1-1.9,SSP1-1.9
681,SSP1-1.9,SSP1-1.9
693,SSP1-1.9,SSP1-1.9
778,SSP1-1.9,SSP1-1.9
